,keyword,count
0,노래,514
1,좋다,491
2,하다,336
3,봄,266
4,보다,202
5,들다,174
6,볼,154
7,진짜,149
8,나,147
9,이,133
10,있다,122
11,듣다,120
12,사춘기,112
13,때,106
14,빨갛다,101
15,같다,80
16,위,80
17,되다,78
18,곡,78
19,왜,77
20,사람,77
21,오다,75
22,뭐,68
23,없다,68
24,넘다,66
25,나오다,59
26,사랑,58
27,아니다,56
28,벚꽃,54
29,방탄,53
30,좋아하다,53
31,거,51
32,내,51
33,더,47
34,안지영,46
35,그렇다,44
36,싶다,44
37,재생,42
38,네,42
39,붙다,41
40,팬,41
41,부분,40
42,가다,40
43,이다,40
44,설레다,39
45,댓글,39
46,생각나다,39
47,개,39
48,다운로드,38
49,것,38
50,화살,38
51,귀엽다,36
52,그냥,36
53,말,36
54,이렇다,35
55,이번,35
56,곁,35
57,가사,35
58,알다,34
59,목소리,33
60,모르다,31
61,돼다,31
62,기운,30
63,너,30
64,믿다,29
65,역시,29
66,다시,29
67,여기,29
68,않다,28
69,계속,28
70,다른,28
71,뮤비,28
72,자다,28
73,맘,26
74,나다,26
75,기분,26
76,많다,26
77,그,25
78,좀,25
79,지윤,25
80,수,25
81,사라지다,25
82,생각,25
83,또,24
84,얼마나,23
85,완벽하다,23
86,느낌,23
87,난,23
88,두다,23
89,어울리다,22
90,하루,22
91,꽃,22
92,차트,22
93,정말,22
94,감사하다,22
95,지금,22
96,나가다,21
97,언니,21
98,이쁘다,21
99,날,21
100,예쁘다,21
101,저,20
102,순위,20
103,맞다,20
104,걸다,20
105,쓰다,20
106,처음,19
107,가수,19
108,넣다,19
109,불어오다,19
110,지나가다,19
111,미치다,19
112,해,19
113,대박,19
114,만들다,18
115,봄바람,18
116,해주다,18
117,사실,18
118,남자,18
119,밖,18
120,줄,18
121,임,18
122,요,17
123,이제,17
124,버리다,17
125,듯,17
126,살다,17
127,슬프다,16
128,무섭다,16
129,듣기,16
130,우리,16
131,눈치,16
132,항상,16
133,들리다,16
134,끄다,16
135,걸,16
136,필요,16
137,도입,16
138,부르다,16
139,응원,16
140,멜로디,15
141,하나,15
142,시작,15
143,보고,15
144,행복하다,15
145,차다,15
146,올라오다,15
147,아미,15
148,음색,14
149,제,14
150,여행,14
151,완전,14
152,노랗다,14
153,코로나,14
154,사가,14
155,안,14
156,이노,14
157,대단하다,14
158,선샤인,14
159,집,14
160,짝사랑,14
161,필요없다,14
162,뭔가,13
163,바보,13
164,앞,13
165,올해,13
166,벌써,13
167,욕,13
168,그만하다,13
169,비슷하다,13
170,데,12
171,애,12
172,사과,12
173,언제,12
174,개념,12
175,최고,12
176,한국인,12
177,받다,12
178,분,12
179,음원,12
180,어떻다,12
181,기다리다,12
182,맴돌다,12
183,무,11
184,그때,11
185,컴백,11
186,제일,11
187,떨어지다,11
188,내주다,11
189,거의,11
190,비추다,11
191,지다,11
192,작년,11
193,쏘다,11
194,스밍,11
195,거기,11
196,올라가다,11
197,안되다,11
198,말다,11
199,앨범,11
200,빠지다,11
201,고맙다,11
202,불다,10
203,자꾸,10
204,보,10
205,띵곡,10
206,티비,10
207,마음,10
208,돌리다,10
209,그만두다,10
210,한국,10
211,니,10
212,중,10
213,파트,10
214,빨다,10
215,못,10
216,요즘,10
217,작곡,9
218,전,9
219,떠오르다,9
220,불,9
221,얘기,9
222,자기,9
223,어디,9
224,무슨,9
225,학교,9
226,대다,9
227,화이팅,9
228,저격,9
229,한번,9
230,팬코,9
231,볼사,9
232,부,9
233,오해,9
234,누르다,9
235,치킨,9
236,고,8
237,진심,8
238,플라워,8
239,어그,8
240,댓,8
241,달달,8
242,자수,8
243,기억,8
244,지영,8
245,드리다,8
246,오늘,8
247,유튜브,8
248,아이돌,8
249,서현진,8
250,유승우,8
251,영,8
252,따르다,8
