,lyric,youtube,melon,bugs,genie,total
당신,0,1,0,0,0,1.0
기타,0,1,3,0,0,4.0
초딩,0,1,0,0,0,1.0
담기다,0,0,3,0,0,3.0
꽃,9,18,1,0,3,31.0
마치,0,1,0,0,0,1.0
담다,0,1,0,0,0,1.0
제아,0,1,0,0,0,1.0
씹덕,0,0,1,0,0,1.0
신스,0,0,1,0,0,1.0
순간,0,0,1,0,0,1.0
달,0,1,0,0,0,1.0
부분,0,2,1,0,0,3.0
운전,0,1,0,0,0,1.0
빠지다,0,0,0,0,1,1.0
릴리,0,0,0,0,2,2.0
하자,3,5,0,0,1,9.0
초,0,1,0,0,0,1.0
이노,0,6,3,0,0,9.0
구래,0,2,0,0,0,2.0
뚜두둥,0,0,1,0,0,1.0
써다,0,0,1,0,0,1.0
도대체,0,1,0,0,0,1.0
그냥,0,1,0,0,1,2.0
가수,0,1,0,0,0,1.0
분,0,2,0,0,1,3.0
반한,0,0,1,0,0,1.0
떡볶이,0,0,0,0,1,1.0
설랜다,0,1,0,0,0,1.0
무더위,0,1,0,0,0,1.0
똑같다,0,1,0,0,0,1.0
타,0,2,0,0,0,2.0
가면,0,1,0,0,0,1.0
솔로,3,17,0,1,4,25.0
정지우,0,1,0,0,0,1.0
매일,0,0,1,0,0,1.0
맛있다,3,5,0,0,1,9.0
축제,0,0,3,0,0,3.0
향기,0,1,0,0,0,1.0
온도,0,1,0,0,0,1.0
저,0,2,0,0,0,2.0
함듬,0,1,0,0,0,1.0
겨,0,1,0,0,0,1.0
아름답다,0,0,1,0,0,1.0
넘어가다,0,1,0,0,0,1.0
년도,0,2,0,0,0,2.0
헝클어트리다,0,1,0,0,0,1.0
땜,0,0,0,1,0,1.0
네,9,13,0,0,1,23.0
상쾌하다,0,1,0,0,0,1.0
인생,0,1,2,0,1,4.0
어디가,0,0,1,0,0,1.0
읍,0,4,0,0,0,4.0
가능,0,0,0,0,1,1.0
여친,0,2,0,0,0,2.0
감정,0,1,2,0,0,3.0
호강,0,0,0,1,0,1.0
달달,0,1,0,0,0,1.0
나다,0,6,1,0,0,7.0
햄버거,0,1,0,0,0,1.0
리리,0,0,0,0,2,2.0
개념,0,1,0,0,0,1.0
오신,0,1,0,0,0,1.0
쩐다,0,0,0,1,0,1.0
남다,0,0,1,0,0,1.0
손,0,26,0,0,0,26.0
씁쓸하다,0,1,0,0,0,1.0
게,0,0,3,0,0,3.0
돌아가다,0,1,1,0,0,2.0
해,0,2,0,0,1,3.0
마음대로,0,0,1,0,0,1.0
아니다,0,2,2,0,1,5.0
히든싱어,0,0,1,0,0,1.0
이번,0,2,0,0,0,2.0
올리다,0,1,0,0,0,1.0
똥,0,0,1,0,0,1.0
주,0,1,1,0,0,2.0
행,0,1,0,0,0,1.0
담배,0,1,0,0,0,1.0
지내다,0,0,6,0,0,6.0
표현,0,0,2,0,1,3.0
아프다,0,0,0,0,1,1.0
루루,0,1,0,0,0,1.0
민주화,0,2,0,0,0,2.0
악기,0,0,2,0,0,2.0
해도,0,0,3,0,0,3.0
것,0,5,5,0,0,10.0
대한,0,1,0,0,0,1.0
꼭,0,1,0,0,0,1.0
서다,0,2,0,0,0,2.0
수가,0,1,1,0,0,2.0
딱지,0,1,0,0,0,1.0
놓다,0,1,0,0,0,1.0
슈,0,1,0,0,0,1.0
로,0,1,1,0,0,2.0
저러다,0,0,1,0,0,1.0
한번,0,6,0,0,0,6.0
대감,0,1,0,0,0,1.0
김,0,0,0,0,1,1.0
중학생,0,1,0,0,0,1.0
나오다,0,4,1,0,0,5.0
괜찮다,0,0,1,0,0,1.0
테디,0,1,0,0,0,1.0
이제,0,5,1,0,0,6.0
헤어지다,0,2,0,0,0,2.0
종류,0,0,1,0,0,1.0
더,0,5,3,0,2,10.0
유니크,0,1,0,0,0,1.0
좀,0,3,1,0,0,4.0
종,0,0,1,0,0,1.0
요,0,0,1,0,0,1.0
기모찌,0,1,0,0,0,1.0
패싸움,0,1,0,0,0,1.0
훔치다,0,1,0,0,0,1.0
각성,0,1,0,0,0,1.0
채,0,2,0,0,0,2.0
복숭아,0,0,1,0,0,1.0
밤꽃,0,6,0,0,0,6.0
고맙다,0,1,0,0,0,1.0
가야,0,0,0,0,1,1.0
산맥,0,0,0,0,1,1.0
상명대,0,1,0,0,0,1.0
스트리밍,0,0,0,0,1,1.0
공연,0,1,0,0,0,1.0
초등학생,0,1,1,0,0,2.0
심다,0,1,0,0,0,1.0
비다,0,1,0,0,0,1.0
발,0,0,1,0,0,1.0
벚꽃앤딩,0,0,0,0,2,2.0
매력,0,2,0,0,0,2.0
남자,0,1,1,0,0,2.0
안되다,0,3,0,0,1,4.0
