,lyric,youtube,melon,bugs,genie,total
계,0,0,1,0,0,1.0
당신,0,1,1,0,0,2.0
담기다,0,1,1,0,0,2.0
탄천,0,1,0,0,0,1.0
즈음,0,1,0,0,0,1.0
학원,0,1,0,0,0,1.0
겟어,0,1,0,0,0,1.0
대변,0,1,0,0,0,1.0
달,0,0,6,0,1,7.0
기여웡,0,0,1,0,0,1.0
초,0,0,2,0,0,2.0
여성,0,1,0,0,0,1.0
스테이플러,0,1,0,0,0,1.0
달지맙시,0,0,1,0,0,1.0
피해,0,0,2,0,0,2.0
공격,0,0,2,0,0,2.0
저렇다,0,0,0,0,1,1.0
뒷쪽,0,1,0,0,0,1.0
전역,0,0,3,0,0,3.0
덕분,0,0,3,0,1,4.0
살의,0,0,1,0,0,1.0
남자친구,0,2,1,0,0,3.0
갈래,0,0,5,0,0,5.0
러블리,0,2,0,0,0,2.0
한겨울,0,1,0,0,0,1.0
매일,0,3,3,0,0,6.0
올려주다,0,1,0,0,0,1.0
돌아다니다,0,1,0,0,0,1.0
꺄아아,0,0,1,0,0,1.0
아름답다,0,1,3,1,0,5.0
기네,0,2,1,0,0,3.0
톤,0,1,0,0,0,1.0
인트로,0,0,4,0,0,4.0
넘어가다,0,0,1,0,1,2.0
멋지다,0,0,0,0,1,1.0
애맘,0,1,0,0,0,1.0
캐릭,0,2,0,0,0,2.0
증명,0,0,1,0,0,1.0
씨,0,0,2,0,0,2.0
웃기다,0,2,1,0,1,4.0
인생,0,4,3,1,0,8.0
꽂곸,0,1,0,0,0,1.0
여친,0,4,1,1,0,6.0
감정,0,4,1,0,0,5.0
달달,0,1,7,1,2,11.0
제작,0,1,0,0,0,1.0
사라,0,0,1,0,0,1.0
진취,0,0,1,0,0,1.0
밝기,0,0,0,0,1,1.0
언뜻,0,0,0,0,1,1.0
펴다,0,1,0,0,0,1.0
혼자,0,3,2,0,3,8.0
게,0,2,5,0,1,8.0
콤,0,1,0,0,0,1.0
평생,0,1,0,0,0,1.0
사진,0,0,2,0,1,3.0
기다,0,0,3,0,0,3.0
독감,0,0,0,0,1,1.0
아니다,0,19,37,1,12,69.0
표현,0,1,2,0,2,5.0
술,0,0,1,0,0,1.0
불쌍,0,0,0,0,1,1.0
태양,0,0,1,0,0,1.0
나쁘다,0,0,1,0,1,2.0
노가다,0,0,0,0,1,1.0
로불,0,1,0,0,0,1.0
코끝,0,0,0,0,1,1.0
단조롭다,0,0,1,0,0,1.0
마음먹다,0,0,1,0,0,1.0
애기,0,0,1,0,0,1.0
다가,0,1,0,0,0,1.0
위태롭,0,1,0,0,0,1.0
전쟁,0,0,2,0,1,3.0
세포,0,3,0,0,0,3.0
싸이코,0,1,0,0,0,1.0
역겹다,0,0,0,0,1,1.0
각본,0,0,1,0,0,1.0
푹쉬다,0,0,1,0,0,1.0
한국인,0,11,1,0,0,12.0
엄청나다,0,0,2,0,0,2.0
지엠,0,0,0,0,1,1.0
저러다,0,0,1,0,0,1.0
입,0,0,0,0,1,1.0
김,0,3,0,0,0,3.0
다나,0,0,0,0,1,1.0
걸어가다,0,1,0,0,0,1.0
고고씽,0,0,1,0,0,1.0
헤어지다,0,3,1,0,0,4.0
루다,0,0,1,0,0,1.0
특이하다,0,2,1,0,0,3.0
사도,0,0,2,0,1,3.0
꼬추,0,0,1,0,0,1.0
오르다,0,0,1,0,0,1.0
선사,0,2,0,0,0,2.0
소방,0,0,1,0,0,1.0
사화,0,0,1,0,0,1.0
스트리밍,0,0,3,0,1,4.0
욥,0,1,1,0,0,2.0
것일,0,0,0,0,1,1.0
인기,0,0,2,0,0,2.0
돌다,0,1,2,0,0,3.0
쉽다,0,0,1,0,0,1.0
에이,0,0,1,0,0,1.0
롱런,0,0,1,0,0,1.0
가볍다,0,0,1,0,0,1.0
게임,0,1,0,0,0,1.0
대단하다,0,0,14,0,0,14.0
웃음,0,0,1,0,0,1.0
개취,0,0,0,0,1,1.0
킬,0,2,1,0,0,3.0
타팬,0,0,4,0,0,4.0
레,0,0,1,0,0,1.0
도리,0,0,1,0,0,1.0
해보다,0,1,2,0,2,5.0
알,0,4,4,0,2,10.0
러시아,0,0,1,0,0,1.0
별로,0,0,4,0,0,4.0
만들어지다,0,0,1,0,0,1.0
바꾸다,0,1,2,0,0,3.0
들리다,0,2,14,0,5,21.0
틀어주다,0,6,0,0,0,6.0
버,0,0,1,0,0,1.0
