,lyric,youtube,melon,bugs,genie,total
당신,0,1,0,1,1,3.0
즈음,0,0,0,0,2,2.0
쑤다,0,0,0,2,0,2.0
달,0,0,0,1,2,3.0
초,0,0,0,0,1,1.0
고음,0,0,0,0,2,2.0
인도,0,0,0,0,1,1.0
더러,0,0,0,0,1,1.0
전역,0,0,0,0,3,3.0
덕분,0,0,0,0,1,1.0
남자친구,0,0,0,0,4,4.0
화장실,0,0,0,1,0,1.0
무대,0,0,0,0,1,1.0
멋지다,0,0,0,1,0,1.0
멸종,0,0,0,0,1,1.0
웃기다,0,1,0,0,7,8.0
인생,0,2,0,0,2,4.0
여친,0,0,0,2,2,4.0
감정,0,1,0,0,1,2.0
종로,0,0,0,0,1,1.0
달달,0,0,0,1,1,2.0
리리,0,0,0,0,1,1.0
심심하다,0,0,0,0,1,1.0
차라리,0,0,0,0,1,1.0
속이다,0,0,0,0,1,1.0
펴다,0,0,0,0,2,2.0
혼자,0,2,0,0,1,3.0
게,0,0,0,0,2,2.0
오크,0,0,0,0,2,2.0
평생,0,0,0,1,4,5.0
아니다,0,6,0,3,20,29.0
대장,0,0,0,0,1,1.0
표현,0,0,0,1,6,7.0
주,0,0,0,0,4,4.0
흠칫,0,0,0,1,0,1.0
캐리,0,0,0,0,1,1.0
대여,0,0,0,3,0,3.0
한국인,0,1,0,0,0,1.0
또륵,0,0,0,0,1,1.0
입,0,0,0,1,0,1.0
다나,0,0,0,1,0,1.0
걸어가다,0,0,0,0,1,1.0
위시,0,0,0,0,1,1.0
헤어지다,0,0,0,1,2,3.0
개화,0,0,0,0,2,2.0
오르다,0,0,0,0,7,7.0
위니,0,0,0,0,1,1.0
스트리밍,0,0,0,1,1,2.0
초등학생,0,0,0,0,1,1.0
츄,0,0,0,0,1,1.0
돌다,0,0,0,0,4,4.0
단,6,0,0,0,0,6.0
말투,0,0,0,0,1,1.0
후손,0,1,0,0,0,1.0
대단하다,0,0,0,1,11,12.0
존엄,0,0,0,0,1,1.0
대한민국,0,0,0,0,1,1.0
세인트루이스,0,0,0,0,1,1.0
해보다,0,0,0,0,2,2.0
알,9,0,0,0,2,11.0
지긋지긋,0,0,0,0,1,1.0
별로,0,0,0,0,2,2.0
귀염,0,0,0,0,3,3.0
바꾸다,0,0,0,1,1,2.0
들리다,0,0,0,1,5,6.0
버,0,0,0,1,1,2.0
인간,0,0,0,1,0,1.0
좋탸,0,0,0,0,1,1.0
윽,0,0,0,0,1,1.0
달뒤,0,0,0,0,1,1.0
설때,0,0,0,0,1,1.0
감고,0,0,0,0,1,1.0
자식,0,0,0,1,0,1.0
촌,0,0,0,0,1,1.0
학번,0,0,0,0,4,4.0
마스크,0,1,0,0,0,1.0
게봄,0,0,0,0,1,1.0
를,0,0,0,0,1,1.0
예전,0,0,0,0,1,1.0
둘러대다,0,0,0,0,1,1.0
서우,0,0,0,0,1,1.0
꿀,0,0,0,0,1,1.0
입학,0,0,0,0,2,2.0
설레임,0,0,0,1,2,3.0
뾰뵤뵹,0,0,0,0,1,1.0
먼훗날,0,0,0,1,0,1.0
붙다,0,2,0,0,0,2.0
꼬,0,1,0,0,0,1.0
들어가다,0,0,0,1,2,3.0
쭈우우우욱,0,0,0,1,0,1.0
긴장,0,0,0,0,1,1.0
프사,0,0,0,0,2,2.0
딸,0,0,0,0,2,2.0
저도욬,0,0,0,0,1,1.0
걸리다,0,0,0,0,2,2.0
고생,0,0,0,0,1,1.0
못,0,0,0,0,1,1.0
존나,0,1,0,0,1,2.0
노래방,0,0,0,0,2,2.0
만끽,0,0,0,0,1,1.0
불면,9,0,0,3,1,13.0
페북,0,0,0,0,1,1.0
잊혀지다,0,0,0,0,3,3.0
증가,0,1,0,0,0,1.0
신고,0,0,0,0,1,1.0
됴티됴티,0,0,0,0,1,1.0
밴드,0,1,0,0,0,1.0
벌써,0,1,0,4,21,26.0
안녕하다,0,0,0,1,2,3.0
제일,0,0,0,1,3,4.0
돗자리,0,0,0,1,0,1.0
봄맞이,0,0,0,1,0,1.0
눈,0,0,0,0,3,3.0
고등학교,0,0,0,0,2,2.0
검,0,0,0,0,1,1.0
애드온,0,0,0,0,1,1.0
유주,0,0,0,0,1,1.0
이형,0,0,0,1,3,4.0
사계절,0,0,0,0,1,1.0
저기,0,1,0,0,0,1.0
본격,0,0,0,0,1,1.0
쓸다,0,0,0,0,1,1.0
없어지다,0,1,0,0,9,10.0
종일,0,0,0,0,1,1.0
디도,0,0,0,0,1,1.0
님들,0,0,0,0,1,1.0
고통,0,0,0,0,1,1.0
회수,0,1,0,0,0,1.0
알콩달콩,0,0,0,1,0,1.0
용사,0,0,0,1,0,1.0
슬금슬금,0,0,0,4,9,13.0
인하다,0,0,0,0,1,1.0
안남다,0,0,0,0,2,2.0
뿜었따,0,0,0,0,1,1.0
섞이다,0,0,0,0,1,1.0
때매,0,0,0,0,1,1.0
연주,0,1,0,0,0,1.0
어우,0,1,0,0,0,1.0
전설,0,0,0,1,1,2.0
신다,0,0,0,0,1,1.0
무궁화,0,0,0,0,3,3.0
타일,0,0,0,1,0,1.0
또흥하겟,0,0,0,1,0,1.0
야수,0,0,0,0,1,1.0
더니,0,0,0,0,1,1.0
상류,0,0,0,0,1,1.0
정기적금,0,0,0,0,1,1.0
벗어나다,0,0,0,0,1,1.0
안남,0,0,0,0,1,1.0
숨기다,0,0,0,0,1,1.0
세기,0,0,0,0,1,1.0
연,0,0,0,0,1,1.0
북일,0,0,0,0,1,1.0
지나치다,0,1,0,0,0,1.0
공원,0,1,0,0,0,1.0
온,0,0,0,1,1,2.0
해주다,0,1,0,3,11,15.0
벚꽃놀이,0,1,0,0,1,2.0
신교대,0,0,0,0,2,2.0
포근하다,0,0,0,0,1,1.0
줄,0,2,0,1,2,5.0
교정,0,0,0,1,1,2.0
징,0,0,0,1,0,1.0
벛꽃좀비,0,0,0,0,1,1.0
밀리,0,0,0,1,0,1.0
역시,0,0,0,1,30,31.0
국민,0,0,0,2,3,5.0
새끼,0,0,0,0,2,2.0
만,0,0,0,0,3,3.0
우린,0,0,0,0,1,1.0
아시,0,0,0,1,0,1.0
윤중로,0,0,0,1,1,2.0
부럽다,0,0,0,2,5,7.0
배냇저고리,0,0,0,0,1,1.0
주위,0,0,0,0,1,1.0
