,keyword,count
0,봄,486
1,벚꽃,444
2,노래,428
3,하다,246
4,좋다,236
5,들다,229
6,오다,224
7,이,181
8,위,162
9,엔딩,161
10,올라오다,161
11,보다,144
12,차트,140
13,되다,137
14,듣다,131
15,진짜,129
16,좀비,125
17,연금,115
18,때,114
19,있다,113
20,또,111
21,같다,78
22,생각나다,74
23,다시,71
24,올해,69
25,그,63
26,없다,61
27,나오다,60
28,곡,60
29,슬슬,60
30,이제,57
31,순위,55
32,가다,55
33,역시,54
34,아니다,52
35,장범준,51
36,이다,47
37,버스커,47
38,이노,43
39,오늘,43
40,설레다,40
41,매년,40
42,날씨,39
43,벌써,39
44,시작,38
45,그대,38
46,것,37
47,올라가다,35
48,수,34
49,나다,32
50,돌아오다,30
51,사람,29
52,코로나,29
53,내,28
54,싶다,27
55,나,26
56,지금,26
57,명곡,25
58,거,25
59,멜론,25
60,곧,25
61,느낌,25
62,모르다,24
63,날,24
64,버스커버스커,24
65,않다,24
66,언제,24
67,생각,24
68,안,23
69,계절,22
70,재생,22
71,좀,22
72,가즈,22
73,임,22
74,미세먼지,21
75,더,21
76,돼다,21
77,그렇다,21
78,왜,21
79,범준,21
80,실화,20
81,년,20
82,이번,20
83,시즌,20
84,다운로드,20
85,개,20
86,음악,19
87,듯,19
88,오르다,19
89,해주다,19
90,그때,19
91,기분,19
92,역주행,18
93,시간,18
94,떠오르다,18
95,진입,18
96,지나다,17
97,넘다,17
98,정말,17
99,하트,17
100,계속,17
101,대박,17
102,처음,17
103,휘날리다,17
104,때문,17
105,들어오다,17
106,겨울,16
107,그냥,16
108,자다,16
109,추억,16
110,되어다,16
111,신기하다,16
112,따뜻하다,16
113,만들다,16
114,중,15
115,면,15
116,어제,15
117,최고,15
118,안질리다,15
119,이렇다,15
120,미치다,15
121,사라지다,15
122,자체,15
123,무섭다,15
124,스물,14
125,느끼다,14
126,크다,14
127,집,14
128,이곡,14
129,뭐,14
130,보고,14
131,남다,14
132,거의,13
133,피다,13
134,많다,13
135,대단하다,13
136,제일,13
137,찾다,13
138,바람,13
139,알다,13
140,거리,13
141,해,13
142,내년,12
143,정도,12
144,함,12
145,앨범,12
146,맞다,12
147,살아나다,12
148,벛꽃,12
149,우리,12
150,장봄준,12
151,피,11
152,꽃,11
153,걷다,11
154,나가다,11
155,봄날,11
156,얼마,11
157,차다,11
158,항상,11
159,기다리다,11
160,찾아오다,11
161,걸다,11
162,게,11
163,들려주다,10
164,가사,10
165,행복하다,10
166,멜로디,10
167,띵곡,10
168,따다,10
169,젠,10
170,꼭,10
171,어떻다,10
172,기억,10
173,나무,10
174,갑자기,10
175,최초,10
176,없어지다,10
177,어디,10
178,들리다,10
179,질리다,9
180,쯤,9
181,하나,9
182,평생,9
183,이유,9
184,여전하다,9
185,갈다,9
186,잎,9
187,찍다,9
188,말,9
189,궁금하다,9
190,보이다,9
191,봄바람,9
192,점점,9
193,레전드,9
194,뒤,9
195,헐다,8
196,버리다,8
197,먼저,8
198,나중,8
199,한번,8
200,목련,8
201,년도,8
202,냄새,8
203,들어가다,8
204,버스,8
205,마음,8
206,내다,8
207,만,8
208,늘다,8
209,고,8
210,짱,8
211,수준,8
212,지다,8
213,표현,8
214,우리나라,8
215,검색,8
216,여름,8
217,전,8
218,부분,8
219,흩날리다,8
220,돋다,7
221,해도,7
222,이형,7
223,혼자,7
224,한국,7
225,소름,7
226,송,7
227,틀다,7
228,작년,7
229,이쯤,7
230,좋아하다,7
231,진심,7
232,동네,7
233,개띵곡,7
234,뭔가,7
235,끝나다,7
236,놀다,7
237,안남다,7
238,뜨다,7
239,사실,7
240,사랑,7
241,느껴지다,7
242,인하다,7
243,야하다,7
244,댓글,7
245,대다,7
246,알,7
247,군대,7
248,듣기,7
249,부르다,7
250,떠올리다,7
251,봄봄봄,7
252,풀리다,7
253,그립다,7
254,벚꽃놀이,6
255,살다,6
256,시기,6
257,어울리다,6
258,못,6
259,상위,6
260,주다,6
261,요,6
262,벌다,6
263,이기다,6
264,서다,6
265,축제,6
266,걸,6
267,잊다,6
268,새롭다,6
269,스무살,6
270,오,6
271,따스하다,6
272,대학,6
273,받다,6
274,가을,6
275,대표,6
276,캐롤,6
277,똑같다,6
278,소리,6
279,모습,6
280,입춘,6
281,웃다,6
282,밤,6
283,가장,6
284,순간,6
285,시절,6
286,간다,6
287,부럽다,6
288,실시간,6
289,길,6
290,이상하다,6
291,돈,6
292,후손,6
293,속,5
294,첫,5
295,현재,5
296,틀,5
297,탑,5
298,동안,5
299,모든,5
300,단,5
301,스,5
302,살,5
303,막,5
304,연간,5
305,무조건,5
306,아마,5
307,어도,5
308,적,5
309,반갑다,5
310,안녕,5
311,추다,5
312,초딩,5
313,갓,5
314,컴백,5
315,도,5
316,줄,5
317,솔직하다,5
318,민요,5
319,부,5
320,준비,5
321,하루,5
322,떨어지다,5
323,들려오다,5
324,타고,5
325,옴,5
326,다음,5
327,치다,5
328,아련하다,5
329,지나가다,5
330,후,5
331,축하,5
332,기상청,5
333,대체,5
334,머,5
335,인정,5
336,자,5
337,일간,5
338,요즘,5
339,연상,5
340,전주,5
341,목소리,5
342,전설,5
343,대한민국,5
344,손잡다,5
345,밖,5
346,좋아지다,5
347,땜,5
348,부활,5
349,들어주다,5
350,얘,5
351,도입,5
352,구경,5
353,누르다,5
354,짐,5
355,빠르다,5
356,꽃송이,5
357,바다,5
358,쩐다,5
359,들어서다,5
360,여기,4
361,주,4
362,애,4
363,안되다,4
364,여수,4
365,일,4
366,리스트,4
367,추가,4
368,바로,4
369,플레이,4
370,개다,4
371,비,4
372,이면,4
373,잊혀지다,4
374,대학생,4
375,각,4
376,불면,4
377,예쁘다,4
378,음,4
379,겠다,4
380,열다,4
381,깨어나다,4
