,keyword,count
0,봄,492
1,노래,481
2,벚꽃,447
3,좋다,312
4,하다,277
5,들다,239
6,오다,235
7,이,185
8,엔딩,164
9,위,161
10,올라오다,160
11,보다,153
12,되다,152
13,진짜,142
14,차트,139
15,듣다,137
16,좀비,124
17,연금,115
18,때,115
19,또,114
20,있다,105
21,사람,104
22,꽃송이,100
23,그렇다,95
24,그,95
25,생각나다,79
26,없다,77
27,같다,74
28,다시,73
29,올해,68
30,가다,66
31,곡,63
32,나오다,61
33,이제,61
34,역시,59
35,슬슬,59
36,어렵다,56
37,순위,55
38,장범준,54
39,그게,54
40,버스커,50
41,피다,50
42,아니다,48
43,거,47
44,이다,45
45,나,45
46,오늘,45
47,이노,44
48,설레다,42
49,날씨,41
50,그대,41
51,벌써,41
52,시작,40
53,매년,40
54,나다,37
55,것,37
56,올라가다,35
57,버스커버스커,34
58,수,34
59,싶다,31
60,거리,31
61,안,31
62,내,30
63,코로나,30
64,돌아오다,29
65,꽃,29
66,느낌,28
67,왜,27
68,하모니카,27
69,손,27
70,더,26
71,지금,26
72,않다,25
73,좀,25
74,멜론,25
75,명곡,25
76,언제,25
77,기분,24
78,임,24
79,생각,23
80,송이,23
81,곧,23
82,가즈,22
83,재생,22
84,돼다,22
85,꼬셔,22
86,개,22
87,이번,22
88,미세먼지,21
89,범준,21
90,말,21
91,해주다,21
92,듯,21
93,날,21
94,걷다,21
95,추억,21
96,넘다,21
97,년,21
98,길,21
99,계절,21
100,실화,20
101,다운로드,20
102,따뜻하다,20
103,떠오르다,19
104,오르다,19
105,건지다,19
106,대박,19
107,때문,19
108,시즌,19
109,모르다,19
110,솔로,18
111,역주행,18
112,겨울,18
113,진입,18
114,그때,18
115,계속,17
116,번,17
117,하트,17
118,들어오다,17
119,자다,17
120,크다,17
121,수많다,17
122,알다,17
123,그래그래,17
124,자체,17
125,그냥,16
126,처음,16
127,최고,16
128,특별하다,16
129,신기하다,16
130,찾다,16
131,네,16
132,정말,16
133,이렇다,16
134,불다,16
135,휘날리다,15
136,어제,15
137,만들다,15
138,가사,15
139,면,15
140,중,15
141,뭐,15
142,집,15
143,안질리다,14
144,되어다,14
145,남다,14
146,느끼다,14
147,지나다,14
148,한번,14
149,차다,14
150,미치다,14
151,이곡,14
152,보고,14
153,함,14
154,시간,14
155,스물,14
156,사라지다,13
157,제일,13
158,얼마만큼,13
159,앨범,13
160,음악,13
161,바람,13
162,대단하다,13
163,우리,13
164,거의,13
165,무섭다,12
166,띵곡,12
167,봄날,12
168,해,12
169,동네,12
170,장봄준,12
171,온,12
172,들리다,12
173,나가다,12
174,벛꽃,12
175,마음,12
176,찾아오다,12
177,넌,12
178,기다리다,12
179,좋아하다,12
180,살아나다,12
181,정도,12
182,냄새,11
183,내다,11
184,어떻다,11
185,멜로디,11
186,젠,11
187,많다,11
188,게,11
189,내년,11
190,항상,11
191,피,11
192,꼭,11
193,얼마,11
194,년도,10
195,갑자기,10
196,맞다,10
197,궁금하다,10
198,기억,10
199,하나,10
200,행복하다,10
201,최초,10
202,질리다,10
203,따다,10
204,밤,10
205,먹다,10
206,이유,10
207,고,10
208,만,9
