,user,comments,processed_comment
0,wnl,이 노래 땜에 단대 다니고 싶음.. ㅋㅋ,"['이', '노래', '땜', '단대', '다니다', '싶다']"
1,메이,조아조아 하모니카 솔로~~~~~,"['좋다', '좋다', '하모니카', '솔로']"
2,bj9266,"울거같애,,","['울다', '같다', '애']"
3,yjwjkh,좋아,['좋다']
4,rteemusic,뿌잉...죠으댜,"['뿌잉', '죠으댜']"
5,aegisfight,조으다,['좋다']
6,sojeong88,쩐다........진짜 어려운거야 ㅠㅠ,"['쩐다', '진짜', '어렵다']"
7,rym035,와 대박이다,"['오다', '대박']"
8,russki,아 이 노래 너무 좋다. 장범준은 천재인거 같음 ㅎ,"['이', '노래', '좋다', '장범준', '천재', '같다']"
9,shleeiou,좋아요,['좋다']
10,ihaveacold,듣고있으면 완전 두근두근. 오랜만에 귀가 호강하는 밤입니다!,"['듣다', '완전', '만', '귀가', '호강', '하다', '밤', '이다']"
