,user,comments,processed_comment
0,Star,창문 열면 봄이 와 있을 것 같아.,"['창문', '열다', '봄', '오다', '있다', '것', '같다']"
1,shs0022,"너희들에게는 여름, 나한테는 봄","['너희', '여름', '나', '늘다', '봄']"
2,예쁜이,음악 해주셔서 감사합니다 :),"['음악', '해주다', '감사하다']"
3,to.be.dandan,작년 봄이 생각나ㅠㅠ,"['작년', '봄', '생각나다']"
4,mori365,이 노래 진짜 잘 만들었어요,"['이', '노래', '진짜', '자다', '만들다']"
5,mori365,전 다외웠어요👧🤬😀😅,"['전', '외우다']"
6,shs0022,"화났다는 거예요, 아니면 좋다는 거예요?!","['화나다', '거', '아니다', '좋다', '거']"
7,moakids,노래 정말 좋은데 전남친이랑 사귈때 개행복해서 오지게 듣던노래라 현재는 못듣는중임ㅋ,"['노래', '정말', '좋다', '전남친', '사귀다', '때', '개', '행복하다', '오지', '듣다', '노래', '현재', '듣다', '중임']"
8,sora798,안돼부터 좋아ㅜㅜㅜ,"['돼다', '좋다']"
9,수환이는레몬에죽고산단다,아진짜 너무좋다 여친이랑 꽃구경가는 느낌...(사실 봄마다 여자친구없어서 꽃구경 가는 느낌이 뭔지모름),"['진짜', '좋다', '여친', '꽃', '구경', '가다', '느낌', '사실', '봄', '여자친구', '없다', '꽃', '구경', '가다', '느낌', '무엇', '모름']"
10,minitiara,볼(빨간)사(춘기)의 노래는 신곡이든 뭐든 좋타...,"['볼', '빨갛다', '사', '춘기', '의', '노래', '신곡', '뭐', '좋다', '타']"
11,pb0029,지겨워,['지겹다']
12,jang3655,지겨우면 듣 질 말 던 가 ㅋ ㅇㄴ ㅋㅋㅋ,"['지겹다', '듣다', '질', '말', '던', '가다']"
13,o3o,저기..... 해석좀......,"['저기', '해석', '좀']"
14,wonymom06,말이 안됌,"['말', '돼다']"
15,sara990117,너무 달라서 당황스럽다,"['달라', '당황', '스럽다']"
16,구삼마,아 노래개조아ㅠㅠㅠㅠㅠㅠㅠㅠㅠ반복재생1010101010시간중,"['노래', '개조', '반복', '재생']"
17,park00714,아 왜 이제 들었지 진짜 좋네ㅠ,"['왜', '이제', '들다', '진짜', '좋다']"
18,myp990730,봄이 지나갈 때까지 이 부분 들을 때마다 십센치 스토커가 생각나네요,"['봄', '지나가다', '때', '이', '부분', '들다', '때', '십센치', '스토커', '생각나다']"
19,mslsy2301,그걸꼭말해야되나?이해가안되네,"['꼭말', '하다', '나', '이해', '안되다']"
20,onion,말 못할건 뭔데?,"['말', '하다', '뭐']"
21,yoonmoonch,딱 붙어서~ 할때너무귀여우ㅏ요,"['붙다', '하다', '때', '여우', '요']"
22,lyucheol,믿고 듣습니다,"['믿다', '듣다']"
23,꽃답게,첫소절부터쌌다 하......♥,"['절', '싸다']"
24,RothyGodness,신곡 너무좋아요 ㅠㅠㅠ 여전히 아름다운 음색,"['신곡', '좋다', '여전하다', '아름답다', '음색']"
25,cjy11283,볼빨간사춘기 노래 분위기는 비슷해도 이 분위기에 계속 듣는다,"['볼', '빨갛다', '사춘기', '노래', '분위기', '비슷하다', '이', '분위기', '계속', '듣다']"
26,05dmsql25,뭔가 드라마 OST같다ㅎㅅㅎ,"['뭔가', '드라마', '같다']"
27,JAMeeeee,왤케 들어본거같지..,"['왜', '들다', '보다', '같다']"
28,뷔글미,와 봄 노래가 뽜바박 나오네 😍,"['오다', '봄', '노래', '뽜', '바박', '나오다']"
29,anger3029,이쯤 되면 믿고 들음ㅋㅋ,"['이쯤', '되다', '믿다', '들다']"
30,Jin,상큼하다❤️,"['상큼', '하다']"
31,매력탱탱,시작하자마자 정신못차리게 좋다,"['시작', '자마자', '정신', '차리다', '좋다']"
32,0427,첫 소절 듣고 반해버림 ㅠㅠ,"['첫', '절', '듣다', '반하다', '버리다']"
33,TaeYounKim,볼빨간 사춘기... 내 인생 최애 뮤지션💓,"['볼', '빨갛다', '사춘기', '내', '인생', '최애', '뮤지션']"
34,rlawns_,이것만 기다렸다 이번 노래도 믿고 듣습니다,"['것', '기다리다', '이번', '노래', '믿다', '듣다']"
35,허쉬,좋다...좋아,"['좋다', '좋다']"
36,ybjang1357,노래 너무 달달하면서 좋아요!! 뮤비 넘 귀엽네요😄 이번 앨범도 믿고 듣습니당😊 볼빨간사춘기 항상 응원합니다!!💖💖,"['노래', '달달', '하다', '좋다', '뮤비', '넘다', '귀엽다', '이번', '앨범', '믿다', '듣다', '볼', '빨갛다', '사춘기', '항상', '응원', '하다']"
