,user,comments,processed_comment
0,lj2092,장범준 최고😁,"['장범준', '최고']"
1,문어,역주행 최고!,"['역주행', '최고']"
2,와쿠와콰,또 올라오네,"['또', '올라오다']"
3,anne6576,올해도 어김없이 출석합니다...,"['올해', '출석', '하다']"
4,618vicky,벚꽃연금......,"['벚꽃', '연금']"
5,pstein,2020년 현재 시각 30위... 장범준 대단.,"['현재', '시각', '위', '장범준', '대다']"
6,djkim010385,코로나싫어,"['코로나', '싫다']"
7,푸우,2012년 노랜데 어떻게 이렇게 하나도 안 촌스럽고 좋을수가...💕,"['노래', '어떻다', '하나', '안', '촌스럽다', '좋다']"
8,라이몽,뷰릉부릉,['뷰릉부릉']
9,imkesso,역주행 1등 가즈아!!,"['역주행', '가즈']"
10,mys0219,역주행 시동 ON,"['역주행', '시동']"
11,dam2070,쫙쫙 치고올라오네 ㅎㄷㄷ,"['쫙쫙', '치', '올라오다']"
12,hsci9690,왘ㅋㅋㅋㅋ 11위,"['오다', '위']"
13,Jayden,진짜 또 올라오는구나ㅋㅋ,"['진짜', '또', '올라오다']"
14,테드마스터,벚꽃 좀비 ㅋㅋㅋ,"['벚꽃', '좀비']"
15,asics89,너같은 사회쑤레기들땜에 그럼,"['너', '같다', '사회', '쑤다', '레기', '땜', '그렇다']"
16,sumin1382,1등 딱대,['대다']
17,꼬꼬망,30위다!!,['위']
18,김태은,봄이다아아악!!!🌱❤️❤️❤️❤️❤️,['봄']
19,sja,봄이 왔나보다...,"['봄', '오다']"
20,쑥님,밖에 못나가서 올해는 좀 힘들겠네 했는데 개뿔..,"['나가다', '올해', '좀', '힘들다', '하다', '개뿔']"
21,drsjs75,입 벌리세요 2020년 벚꽃연금 들어갑니다~,"['입', '벌리다', '벚꽃', '연금', '들어가다']"
22,음잘알,또또 올라온다 ㅋㅋㅋㅋㅋ 신기해,"['또또', '올라오다', '신기하다']"
23,Sinip,봄이 왔나봐요~~ 54위했네,"['봄', '오다', '보다', '위', '하다']"
24,jeonghwa4330,차트 인💗✨🌸,"['차트', '인']"
25,듣기,슬슬 상승각,"['슬슬', '상승', '각']"
26,kangyj9322,깨어나라 좀비여,"['깨어나다', '좀비']"
27,hyunjjang97,이제 올라올 때가 됐다,"['이제', '올라오다', '때', '돼다']"
28,아이폰,곧 3월되면 다시 올라오겠죠?ㅋ,"['곧', '다시', '올라오다']"
29,세종대제라드,"항상 봄, 여름, 가을, 겨울마다 그 시즌을 겨냥해 수많은 노래가 나오지만 몇년이 지나도 “이 계절엔 이 노래지”싶은 노래는 벚꽃엔딩이 유일하다.","['항상', '봄', '여름', '가을', '겨울', '그', '시즌', '겨냥', '하다', '수많다', '노래', '나오다', '년', '지나다', '이', '계절', '이', '노래', '싶다', '노래', '벚꽃', '엔딩', '유일하다']"
30,snh21,겨울에는 머라이어캐리 크리스마스 캐롤이요.ㅋ,"['겨울', '머라이어캐리', '크리스마스', '캐롤']"
31,gmleo741,22위~,['위']
32,Rewarding,이 시각 '봄봄봄'이라는 강적이 사라진 벚꽃 엔딩,"['이', '시각', '봄봄봄', '강적', '사라지다', '벚꽃', '엔딩']"
33,막고친남,애초에 강적도 아니었음 벚꽃엔딩은 넘사급이지 비빌게 안됨표절곡이랑,"['애초', '강적', '아니다', '벚꽃', '엔딩', '넘다', '급', '비비다', '안되다', '표절', '곡']"
34,Rewarding,벚꽃 엔딩의 엔딩은 언제쯤일까...,"['벚꽃', '엔딩', '엔딩', '언제', '이다']"
35,m0323,27위!!^^,['위']
36,ninedog3,그리고 점점 내                      려                         간                            다...,"['점점', '내', '려', '간']"
37,고3,좀비 ㅋㅋㅋ 30위 까지 왔엌ㅋㅋㅋ,"['좀비', '위', '오다']"
38,jump61500,와 좀비야 뭐야,"['오다', '좀비', '뭐']"
39,ㅇㅇ,돈잘버네,['돈잘버']
40,ejrrud3109,"너와 벚꽃흩날리던 무심천을 이노랠 들으면서 드라이브하던, 너의 모교 서원대 교정을 그리고강의실을 함께 걷던 12년도 그날이 아직도 선명하게 생각난다. 잘지내지? 행복하길 바래! 그리고 고마웠어 잠시라도 내여자여줘서!","['너', '벚꽃', '흩날리다', '무심천', '이', '노랗다', '들다', '드라이브', '하다', '너', '모교', '서원대', '교정', '강의실', '걷다', '그날', '선명하다', '생각나다', '지내다', '행복하다', '바', '고맙다', '잠시', '여자', '주다']"
41,우와,청주 사냐,"['청주', '사다']"
42,닉넴머징,ㅋㅋㅋㅋ 실시간 차트 랜덤 틀었다가 이 노래 또 나왔네 벚꽃좀비...,"['실시간', '차트', '랜덤', '틀다', '이', '노래', '또', '나오다', '벚꽃', '좀비']"
43,hoolaboy,올라가기 시작한다,"['올라가다', '시작']"
44,hoolaboy,올라가기 시작한다,"['올라가다', '시작']"
45,Yang,연금이 또....,"['연금', '또']"
46,wnstjq1215,슬슬...,['슬슬']
47,시공의폭풍은정말최고야,난 가장 기억에 남는 평가가나중에 환경오염때문에 봄이 사라졌을때 자식들이 봄은 어땟냐 물어보면 이 노래를 들려주며 이런 느낌이었다라고 말해줄 것이다라는 평가가 가장 기억에 남음... 봄에 이만큼 어울리는 노래도 없는듯,"['난', '가장', '기억', '남다', '평가', '나중', '환경오염', '때문', '봄', '사라지다', '때', '자식', '봄', '어땟', '물어보다', '이', '노래', '들려주다', '이렇다', '느끼다', '말', '해주다', '것', '평가', '가장', '기억', '남다', '봄', '이', '어울리다', '노래', '없다']"
48,hwa_ah,진짜 신기해요 질리는거 같으면서 봄 되면 또 꼭 찾아서 듣고 있어요,"['진짜', '신기하다', '질리다', '같다', '봄', '되다', '또', '꼭', '찾다', '듣다', '있다']"
49,슉슉,존좋,"['존', '좋다']"
50,-a-pigtale,올해도 당신이이겼어요,"['올해', '당신', '이기다']"
51,AiaLize,벚태식이 돌아왔구나!,"['벚태식', '돌아오다']"
52,98668,너무좋다,['좋다']
53,jh-1984,54위!?!?,['위']
54,anger3029,세월이 많이 지났음에도 촌스럽지가 않은 노래다,"['세월', '지나다', '촌스럽다', '않다', '노래']"
55,하제님,드디어 스멀스멀 올라오기 시작하는군.....,"['올라오다', '시작', '하다']"
56,jung2293,몇년이 지나도 질리지않고 봄이되면 생각나는 이노래.,"['년', '지나다', '질리', '않다', '봄', '되다', '생각나다', '이노']"
57,jh-1984,벚꽃엔딩  네버엔딩,"['벚꽃', '엔딩', '네버엔딩']"
58,jkm9415,차트인 축하합니다,"['차트', '축하', '하다']"
59,홍삼양갱,벚꽃연금🌸,"['벚꽃', '연금']"
60,kkaeban,안녕하세요. 2019년 봄입니다.,"['안녕하다', '봄', '이다']"
61,오진우,기억나네. 지금은 헤어졌지만. 이노래를 듣고 윤중로를 걷고 돗자리에서 알콩달콩 이야기 했던 기억이. 2013년 벚꽃이 흩날리며 들었던 노래는 아직도 기억에 남는다. 장범준은 천재다.,"['기억나다', '지금', '헤어지다', '노래', '듣다', '윤중로', '걷다', '돗자리', '알콩달콩', '이야기', '하다', '기억', '벚꽃', '흩날리다', '들다', '노래', '기억', '남다', '장범준', '천재']"
62,아이스아메리카노,3월이네요 이제 슬슬 올라와야...,"['이제', '슬슬', '올라오다']"
63,kimseung1998,올라갈시간이다 ㅋㅋㅋㅋㅋㅋㅋㅋ,"['올라가다', '시간']"
64,rlatjswoo,2016년 까지 이 노래가 m사에서 스트리밍된 시간을 역주행하면 고려 문종때까지 거슬러 갈수 있습니다,"['이', '노래', '사', '스트리밍', '되다', '시간', '역주행', '하다', '고려', '문종', '때', '거슬러', '갈수', '있다']"
65,허쉬초코왕맛,오늘 생각나서 이미 듣고 있음.. 저도 슬슬 올라올때 됐다고 생각함.. ㅎㅎ,"['오늘', '생각나다', '듣다', '있다', '저', '슬슬', '올라오다', '때', '돼다', '생각', '함']"
66,음악은멜론,이제 슬슬 다시 올라올때가 됬다,"['이제', '슬슬', '다시', '올라오다', '때', '되다']"
67,velovent,이정도면 이제 그냥 세뇌당한거같다 봄되려고하면 먼저생각,"['정도', '이제', '그냥', '세뇌', '당하다', '같다', '보다', '려고', '먼저', '생각']"
68,lio,슬슬 올라올때인데...,"['슬슬', '올라오다', '때']"
69,노씨,오늘은 진짜 날씨랑 딱 맞네,"['오늘', '진짜', '날씨', '맞다']"
70,공지사항,슬슬 다시 올라오지요?,"['슬슬', '다시', '올라오다']"
71,롸롸,다시 돌아왔다...,"['다시', '돌아오다']"
72,너의곁으로,너무 좋아요,['좋다']
73,spr3315,이제 슬슬 생각나쥬..?,"['이제', '슬슬', '생각나다', '쥬']"
74,lasher00,억원을 밨을수 있겠는데,"['억원', '밨을수', '있다']"
75,소원,봄이 끝날 때까지 함께하는 거지,"['봄', '끝나다', '때', '하다', '거지']"
76,ky0926,또 들어요ㅎㅎ,"['또', '들다']"
77,closeplan,"벚꽃의""연금""술사","['벚꽃', '연금', '술사']"
78,elkarz,레전드띵곡,"['레전드', '띵곡']"
79,늘양,끝나지 않는 벚꽃 엔딩,"['끝나다', '않다', '벚꽃', '엔딩']"
80,juzscene,봄바람휘날리며,"['봄바람', '휘날리다']"
81,juzscene,요새 듣기 좋아요 좋아😘😘,"['요새', '듣기', '좋다', '좋다']"
82,dldnwlsw,벚꽃연금,"['벚꽃', '연금']"
83,linefour,"2010년대 들어 최고 명곡머리론 질리는데, 인트로 부분부터 가슴은 두근두근","['들다', '최고', '명곡', '머리', '론', '질리다', '인트', '부분', '가슴']"
84,pathbrkr,벚꽃 네버엔딩,"['벚꽃', '네버엔딩']"
85,mase0804,지겹다 이제,"['지겹다', '이제']"
86,sungpias,그가 돌아왔다,"['그', '돌아오다']"
87,usmbbo,연금 부럽당 ㅎㅎ 그만큼 좋은 노래~!!!,"['연금', '부럽다', '좋다', '노래']"
