,user,comments,processed_comment
0,uiiuiuiu,김민석 성대모사 본 이후로 자꾸 생각나서 옴ㅋㅋ,"['김민석', '성대모사', '보다', '이후', '자꾸', '생각나다', '옴']"
1,rok***,이노래는 벚꽃엔딩보다 더오래갈듯하다,"['노래', '벚꽃', '엔딩', '덥다', '갈다', '하다']"
2,aha***,으꽃송이가아~,"['꽃송이', '가다']"
3,롸여니,20대 대학교 다닐때의 낭만이 들어있는 곡...,"['대다', '대학교', '다니다', '때', '낭만', '들다', '곡']"
4,지나오는나그네,단대호수 걷다가 들으면 좋다.,"['대호수', '걷다', '들다', '좋다']"
5,동서기,ㅂ랜덤 재생해놨눈데 꽃보며 걷다가 이 노래가 딱 재생되다니 ㅜㅜㅜ 기분이 너무 좋다잊고 살다가 듣는데 너무 좋네 노래가,"['랜덤', '재생', '하다', '꽃', '보다', '걷다', '이', '노래', '재생', '되다', '기분', '좋다', '잊다', '살다', '듣다', '좋다', '노래']"
6,우오,와진짜 봄마다 직접 검색해서 추가하게만드네;;,"['오다', '진짜', '봄', '직접', '검색', '하다', '추가', '하다', '드']"
7,jij***,나혼자산다에서 듣고 바로 스트리밍 중..,"['나혼자산다', '듣다', '바로', '스트리밍', '중']"
8,❤️,슬슬 또 올라오는구만😊,"['슬슬', '또', '올라오다']"
9,wsg***,그냥 언제나 들어도 굿..,"['그냥', '들다', '굿']"
10,seobly,새삼 또 좋으네..... 정말.....,"['새삼', '또', '좋다', '정말']"
11,충성충성^^7,영업왕 장범준. 여수는 이미 갔다왔고 오늘 단대호수 걸으러 감니다,"['영업', '장범준', '여수', '가다', '오다', '오늘', '대호수', '걸다', '감다']"
12,lot***,단대 온김에 호수보면서 듣는데 기가막히는구먼🙈,"['단대', '김', '호수', '보다', '듣다', '기', '막히다']"
13,시바견,개인적으로 벚꽃엔딩보다 더 봄날느낌나는듯,"['개인', '벚꽃', '엔딩', '더', '봄날', '느끼다']"
14,juw***,좋아좋아 나는 모태 솔로~끄어어엉...,"['좋다', '좋다', '나', '모태', '솔로', '끄다']"
15,dnw***,나만 그런게 아니구나,"['나', '그렇다', '아니다']"
16,nai***,진짜루 귀여운 노래🌸👀🌼,"['진짜루', '귀엽다', '노래']"
17,Zino,커피 한 잔 하자고 불러~ 이거 금세 사랑에 빠지는 웹툰 생각난당ㅎㅎ,"['커피', '하다', '잔', '하자', '불다', '거', '금세', '사랑', '빠지다', '웹툰', '생각나다']"
18,ooo***,꼬쏭이가~~꼬쏭이가~~~,"['꼬쏭이', '꼬쏭이']"
19,ald***,그래그래피었네,"['그래그래', '피다']"
20,소피,난 이게 벚꽃앤딩보다 훨씬 봄같음 🌸💐,"['난', '이', '벚꽃앤딩', '봄', '같다']"
21,rng***,노래에 하모니카가 광석이형님만큼 잘어울리는분,"['노래', '하모니카', '광석', '형님', '어울리다', '분']"
22,호도리,나는 네게 얼마 만큼 특별한 건지,"['나', '네', '얼마', '만큼', '특별하다', '건지다']"
23,간ZI나는 사나이,65번들었는댕..;,"['번', '들다', '댕']"
24,jos***,좋아좋아 나는 모태솔로,"['좋다', '좋다', '나', '모태솔로']"
25,nevertheless,"사랑은 타이밍 인생도 타이밍,그때의 우린 만났어야 했던 타이밍,,지금의 우린 각자의 길을 가야만 하는 타이밍이었다...","['사랑', '타이밍', '인생', '타이밍', '그때', '우린', '만나다', '하다', '타이밍', '지금', '우린', '각자', '길', '가야', '하다', '타이밍', '이다']"
26,ㅈㅎ,장범준의 자유로운 영혼이 묻어있는 곡 봄마다 주구장창 듣는다💕,"['장범준', '자유롭다', '영혼', '묻다', '곡', '봄', '장창', '듣다']"
27,vic***,벚꽃엔딩말고 꽃송이가,"['벚꽃', '엔딩', '꽃송이']"
28,sha***,으응~~ 올해도 이렇게 시작되는구나!항상 희망과 설레임을 주던 봄날의 명곡🌸,"['올해', '시작', '되다', '항상', '희망', '설레임', '주다', '봄날', '명곡']"
29,hee***,가사알고들으니까 더 설레고 좋은ㅎㅎ,"['가사', '알', '들다', '더', '설레다', '좋다']"
30,gloomysunday,"넌 한 번도, 그래. 안 된다는 말이 없었지.","['넌', '하다', '번', '그렇다', '안', '되다', '말', '없다']"
31,Nas,노래 완전 좋음!,"['노래', '완전', '좋다']"
32,네오,^^ 꽃 한송이가~~~,"['꽃', '한송이']"
33,지수제니로제리사,꽃송이가 꽃송이가 그 꽃 한 송이가 그래 그래 피었구나,"['꽃송이', '꽃송이', '그', '꽃', '하다', '송이', '그렇다', '그렇다', '피다']"
34,는,좋아좋아 아프니깐 솔로라고 들린사람?그렇다고 찔린건 아니얔,"['좋다', '좋다', '아프다', '솔로', '들리다', '사람', '찔리다', '아니얔']"
35,twi***,꽃송이가 꽃송이가그래그래 피었네,"['꽃송이', '꽃송이', '그래그래', '피다']"
36,WIZ_NINL,세트메뉴임다!,"['세트', '메뉴', '이다']"
37,lyn***,봄이온듯해 들으러 왔슴다,"['봄', '오다', '해', '들다', '오다']"
38,나우,"내가 꼬시고 있다는 걸 모를 리 없는 너. 그런 날 마다하지는 않는 너. 그게 어떤 의미인지, 우린 어떤 사이이인지 궁금한 마음뿐.","['내', '꼬시', '있다', '걸', '모르다', '리', '없다', '너', '그렇다', '날', '마다', '하다', '않다', '너', '그게', '어떻다', '의미', '우린', '어떻다', '사이이', '궁금하다', '마음']"
39,하루,꽃송이가 꽃송이가 그래 그래 피었네,"['꽃송이', '꽃송이', '그렇다', '그렇다', '피다']"
40,dreamer,봄 밤 생각난다,"['봄', '밤', '생각나다']"
41,mat***,벚꽃연금 ㅎㅎ,"['벚꽃', '연금']"
42,dia***,좋아 좋아 하모니카 솔로 ㅋㅋㅋㅋ,"['좋다', '좋다', '하모니카', '솔로']"
43,Skany,사쓰가 벛꽃연금!!,"['사', '쓰다', '벛꽃', '연금']"
44,con***,연애하고싶다,"['연애', '하다']"
45,JK,벚꽃앤딩과 양대산맥,"['벚꽃앤딩', '산맥']"
46,jws***,그래그래피었구나,"['그래그래', '피다']"
47,mag***,전화걸고싶을때마다 대신하는 노래,"['전화', '걸다', '때', '대신', '하다', '노래']"
48,mis***,두준두준 설리설리,"['두준', '두준', '설리', '설리']"
49,J,하모니카는 봄이랑 잘어울령>_<,"['하모니카', '봄', '자다', '령']"
50,jiy***,버스커...,['버스커']
51,ays***,넘 ~ 좋은노래버스커버스커노래는봄에들어야좋은노랭~,"['넘다', '좋다', '노래', '버스커버스커', '노래', '봄', '들다', '좋다', '노랭']"
52,eke***,맜있는거 먹자고하면 넘어오는사람이있을까?,"['맜', '있다', '먹다', '넘어오다', '사람', '있다']"
53,ej0***,참 좋네요‥중년이 듣기에도‥,"['차다', '좋다', '중년', '듣기']"
54,추억윤혜,꼬셔 불러 꼬셔 안된다는말이 없었지 어려운거야,"['꼬셔', '불다', '꼬셔', '안되다', '없다', '어렵다']"
55,maj***,연애하기전의 그 설렘이 새록새록 떠오르는 솔직담백한 표현이 너무 좋네요 봄이 되면  먼저 떠오르는 음악 !앞으로 잘부탁드려요~!,"['연애', '하다', '그', '설레다', '새록새록', '떠오르다', '솔직담백하다', '표현', '좋다', '봄', '되다', '먼저', '떠오르다', '음악', '앞', '부탁드리다']"
56,mis***,맛있는거먹자고 꼬셔,"['맛있다', '먹다', '꼬셔']"
57,hys***,ㅋㅋㅋ ㅇㅇ 마즘ㅋㅋㅋㅋ,['마즘']
58,J,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ나,['나']
59,kjs***,없어,['없다']
