,user,comments,processed_comment
0,새벽2시55분,히든싱어 지금 보고 있는데 오랜만에 들으러 왔어요 ❣ 봄을 대표하는 노래,"['히든싱어', '지금', '보고', '있다', '만', '들다', '오다', '봄', '대표', '하다', '노래']"
1,lit***,햐!!!!!!............... 노래방에 가서 부르고 싶다!!!!ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 노래방에 갈수있다면은 반드시 이노래를 부른다!!!,"['햐', '노래방', '가다', '부르다', '싶다', '노래방', '갈다', '반드시', '노래', '부르다']"
2,123,대학교 입학하고 함께 나왔던 노래..이 노래는 평생토록 벚꽃연금과 함께 내 추억곡일듯...노래 듣자마자 다음날 벚꽃보러 첫 데이트 갔었는데 새록새록이네🤭,"['대학교', '입학', '나오다', '노래', '이', '노래', '평생토록', '벚꽃', '연금', '내', '추억', '곡', '이다', '노래', '듣다', '다음', '날', '벚꽃', '보다', '첫', '데이트', '가다', '새록새록']"
3,미뇽,고음 머야...,"['고음', '머']"
4,🦄,봄 바남 휘날리며~,"['봄', '바남', '휘날리다']"
5,다다다닷,봄이되면 꼭 듣는곡🌸🌺,"['봄', '되다', '꼭', '듣다', '곡']"
6,bluegeein,봄에 들으면 좋은곡♡,"['봄', '들다', '좋다', '곡']"
7,kjw***,고음 뭐냐 ㅎ ㄷ ㄷ 진짜 잘하십니다,"['고음', '뭐', '진짜', '하다']"
8,kjw***,이게 바로 봄 대표 곡이지 ㅋㅋ,"['이', '바로', '봄', '대표', '곡']"
9,운형,어떻게 이런 노래를 만들었지,"['어떻다', '이렇다', '노래', '만들다']"
10,UNKNOWN,노래 가사처럼 요즘상황이 그렇지 않네ㅜ코로나 사라지면 겁나 빨리올라올텐데,"['노래', '가사', '요즘', '상황', '그렇다', '않다', '코로나', '사라지다', '겁나다', '올라오다']"
11,genie,전설의 시작👍,"['전설', '시작']"
12,웅웅,올해도 벚꽃좀비등판🤣,"['올해', '벚꽃', '좀비', '등판']"
13,wog***,??? : 수금하러 왔습니다~,"['수금', '하다', '오다']"
14,뮤직이즈마이라이프,현 시각 40위 축하드려요😖🌸 1위까지 쭉쭉 올라가기를💖💚,"['현', '시각', '위', '축하', '드리다', '위', '쭉쭉', '올라가다']"
15,gjt***,봄철 노래 최고존엄,"['봄철', '노래', '최고', '존엄']"
16,yg0***,점점올라간다,"['점점', '올라가다']"
17,ilikwiwy,이노래 없으면 뭔가 봄이라는 느낌이 잘 안 난다,"['이노', '없다', '뭔가', '봄', '느낌', '자다', '안', '나다']"
18,pap***,추우면 내려가고 따뜻하면 올라오고ㅋㅋㅋㅋㅋ기상청이냐곸ㅋ,"['추다', '내려가다', '따뜻하다', '올라오다', '기상청', '고']"
19,jak***,24위 ㄷㄷ,['위']
20,kab***,"ㅋㅋㅋ 들을 생각 없다가도, 날이 너무 좋으니 찾아듣게됨 ㅋㅋ","['들다', '생각', '없다', '날', '좋다', '찾아듣다', '되다']"
21,cha******,충격적인 거라면....올해 초등1학년 되는 아가들은 이 노래보다 세상 데뷔 후배라는 거...,"['충격', '거', '라면', '올해', '초등', '학년', '되다', '아가', '이', '노래', '세상', '데뷔', '후배', '거']"
22,UNKNOWN,올라온다..,['올라오다']
23,마멜리오,벚꽃좀비가 다시 돌아왓다......ㄷㄷ,"['벚꽃', '좀비', '다시', '돌아왓다']"
24,kho***,언제쯤이면 봄에 이노래가 안나올까,"['언제', '이면', '봄', '노래', '나오다']"
25,gon***,벚태식이 돌아왔구나~ 반갑다~,"['벚태식', '돌아오다', '반갑다']"
