,youtube_id,comment,like_num,processed_comment
0,익명이덕후,뼈치킨보고 오신분?,11개,"['뼈', '치킨', '보고', '신분']"
1,새벽,"딱 이시국 노래 아닌가??
사람들은 봄기운이 좋아
눈치없이 밖을 나가는걸까",19개,"['시국', '노래', '아니다', '사람', '봄', '기운', '좋다', '눈치', '밖', '나가다', '끄다']"
2,카드값줘체리,이거 메이킹 보니까 우지윤님은 배역도 없던데..멋대로 단정해서는 안되는걸 알지만 이런거 계속 보다보니까 왜 탈퇴했는지 알것같음..,4개,"['거', '메이킹', '보', '지윤', '배역', '없다', '멋대로', '단정하다', '안되다', '알', '이렇다', '계속', '보다', '보', '왜', '탈퇴', '하다', '알다', '같다']"
3,꾸뿌,우지윤 응원할게 화이팅,546개,"['지윤', '응원', '하다', '화이팅']"
4,인직과로사,가사보면 코로나 저격노래인줄,98개,"['가사', '보다', '코로나', '저격', '노랗다']"
5,앙기무찌,뼈치킨을 알고있니,72개,"['뼈', '치킨', '알다']"
6,수한무김,봄노래들으면 새학기시작하는 그 떨림이 생각남 좋다,11개,"['봄', '노래', '들다', '학기', '시작', '그', '떨리다', '생각나다', '좋다']"
7,김도영,"노래 나온지 정확히 1년이 지난 지금, 완전체의 BOL4를 볼 수 없게 됐군요ㅠㅠ 좋은 노래 감사했습니다. 앞으로도 각자의 길에서 좋은 노래 내주길!",293개,"['노래', '나오다', '정확하다', '지난', '지금', '완전체', '를', '볼', '수', '없다', '돼다', '좋다', '노래', '감사하다', '앞', '각자', '길', '좋다', '노래', '내주다']"
8,JustLaugh,날클립을 알고있니,24개,"['날', '클립', '알다']"
9,전화번호,뼈치킨을 알고있니?,2개,"['뼈', '치킨', '알다']"
10,박성문,노래 너무 좋아요♡,1개,"['노래', '좋다']"
11,오은정,"멍 멍!코로나 없는봄 되면좋겠네요
아기들도다시활기를되찾았으면ㅠㅠ",7개,"['멍', '멍', '코로나', '없다', '봄', '되다', '좋다', '아기', '다시', '활기', '되찾다']"
12,김안동,날크립을 알고있니?,33개,"['날', '크립', '알다']"
13,구독,언니 사 랑 해 요,3개,"['언니', '사', '해', '요']"
14,팩트폭격기,1년째들으며 행복할그날에 이노래를 듣고있을 나를 상상한다,25개,"['행복하다', '그날', '노래', '듣다', '나르다', '상상']"
15,Jacobat,볼사는 너무좋은게 진짜 말그대로 중고딩시절 감정을 안잃어버리는거같음,465개,"['볼', '살다', '좋다', '은', '진짜', '말', '그대로', '중', '고딩', '시절', '감정', '잃어버리다', '같다']"
16,강당근,이노래 들으면서 벚꽃구경하면 분위기 갑이였는데 이젠 그러지도 못하겠네ㅋㅋㅋ,14개,"['이노', '들다', '벚꽃', '구경', '분위기', '가다', '젠', '그렇다', '하다']"
17,레이업,볼사 띵곡 진짜 많았네 이젠 추억이구나 ...,17개,"['보다', '띵곡', '진짜', '많다', '젠', '추억']"
18,팥떡국,날클립을 알고있니,25개,"['날', '클립', '알다']"
19,갈아만든idh,나만 화살 꼽는거 귀엽고 웃긴가?ㅋㅋㅋㅋㅋ 진짜 너무 색감도 이쁘다. 이번은 무리하지 말고 목관리 잘해줘 누나 오래 노래 듣고싶어,373개,"['나', '화살', '꼽는거', '귀엽다', '웃기다', '진짜', '색감', '이쁘다', '이번', '무리하다', '목', '관리', '잘해주다', '누나', '노래', '듣다']"
20,고경훈,나만 이게 볼빨간사춘기중에 가장 좋다고 생각하나?,111개,"['나', '이', '볼', '빨갛다', '사춘기', '가장', '좋다', '생각', '하나']"
21,박영우,"나만봄이 벌써 1년이다돼가네 1학기때 흥얼흥얼 부르던게 기억나네...ㅠㅠ


+좋아요가 80개나 넘은건 처음 이네요ㅎㄷㄷ",186개,"['나', '봄', '벌써', '학기', '때', '흥얼흥얼', '부르다', '기억나다', '좋다', '요가', '개', '넘다', '처음', '이다']"
