,melon_id,댓글,processed_comment
0,돌르랑_도트가_제일_좋아,아무리 잊으려 해도 봄만 되면 머릿속에 들려서 절대 잊지 못하는 노래,"['잊다', '해도', '봄', '되다', '머릿속', '들다', '절대', '잊다', '하다', '노래']"
1,ailto2,와 2010년대 1위였어??? 미쳤다,"['오다', '위', '이다', '미치다']"
2,HRANG,그냥... 봄 아니라도 늦가을이나 겨울에 너무 추워서 아 빨리 봄 왔으면 좋겠다 싶을때 들어도 좋음 벚꽃연금 진짜 개쩌는듯,"['그냥', '봄', '아니다', '늦가을', '겨울', '춥다', '봄', '오다', '좋다', '싶다', '때', '들다', '좋다', '벚꽃', '연금', '진짜', '개쩌는듯']"
3,셉4호,와 2010년대의 1위 멋있다,"['오다', '위', '멋있다']"
4,정신차리자-,좋아요 대칭,"['좋다', '대칭']"
5,j-xn,"이 노래가 좋은 이유는 벚꽃과 들어도 정말 좋지만, 사계절 언제든 봄을 느끼고 싶을때 꺼내서 들을 수 있는 소중한 곡이어서 그런 것 같네요.","['이', '노래', '좋다', '이유', '벚꽃', '들다', '정말', '좋다', '사계절', '언제', '봄', '느끼다', '싶다', '때', '꺼내다', '들다', '수', '있다', '소중하다', '곡', '그렇다', '것', '같다']"
6,Darkestdays,ㄹㅇ 연금엔딩임 목소리와 멜로디 중독성 오짐ㅋㅋ,"['연금', '엔딩', '임', '목소리', '멜로디', '중독', '짐']"
7,블루핀투나,"벚꽃엔딩, 네가 내 봄이다!","['벚꽃', '엔딩', '네', '내', '봄']"
8,디제이_설명충,"진짜 영원하다...10년 뒤에도
봄마다 차트인 할 듯...
재생 다운로드
Legends Never Die
Against The Current
Legends Never Die (2017 리그 오브 레전드 월드 챔피언십 주제곡)","['진짜', '영원하다', '뒤', '봄', '차트', '하다', '듯', '재생', '다운로드', '리그', '오브', '레전드', '월드', '챔피언십', '주제곡']"
9,blueday320,레전드는 말이 필요없지,"['레전드', '말', '필요없다']"
10,짜파라면,레전드!,['레전드']
11,차이나는닉네임,와 2010년대 1위...,"['오다', '위']"
12,YKW0,1위까지 할 줄이야 ㅋㅋ,"['위', '하다', '줄']"
13,I_Love_You_3000,예상은 했지만 2010년대 차트 1위 진짜 ㅋㅋㅋㅋㅋ 쩔어,"['예상', '하다', '차트', '위', '진짜', '쩔다']"
14,마제육볶아온나,2010년대 1위 ㄷㄷ,['위']
15,걕걕,벚꽃연금,"['벚꽃', '연금']"
16,슉아슈가룬,장범준이 아니라 장봄준이래ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 진짜 웃겨ㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"['장범준', '아니다', '장봄준', '진짜', '웃기다']"
17,Abcdefdg,"그냥 모두아마 다 이 생각할꺼다

""그 때로 돌아가고싶다""","['그냥', '아마', '이', '생각', '하다', '그', '때', '돌아가다']"
18,알겠쉼다,"진짜 제목에 봄들어 가는 노래는 다 좋은거 같아..
봄 특유의 분위기가 진짜 좋은 듯..","['진짜', '제목', '봄', '들다', '가다', '노래', '좋다', '거', '같다', '봄', '특유', '분위기', '진짜', '좋다', '듯']"
19,AONLY,봄이랑 너무 잘어울려 ㄹㅇ,"['봄', '어울리다']"
20,랠_리_루,거의 36만 하트 레전드,"['거의', '하트', '레전드']"
21,이닉넴은없겠지,"봄에는 봄이라서 듣고
여름엔 벌써 봄 지나가는게 아쉬워서 듣고
가을엔 날씨가 봄같아서 듣고
겨울엔 봄 그리워서 듣고","['봄', '봄', '듣다', '여름', '벌써', '봄', '지나가다', '아쉽다', '듣다', '가을', '날씨', '봄', '같다', '듣다', '겨울', '봄', '그립다', '듣다']"
22,rainday00,또 역주행 가자!!!!! 아직 이른거겠지,"['또', '역주행', '가다', '이르다']"
23,무한도전ㅡ,진짜 한국 흥 넘버원,"['진짜', '한국', '흥', '넘버원']"
24,카라멜커피향,"대학 신입생 때 벚꽃 흩날리는 캠퍼스에서
들었었는데 그 이후로 8년이나 지났네..
시간 참 빠르다","['대학', '신입생', '때', '벚꽃', '흩날리다', '캠퍼스', '들다', '그', '이후', '지나다', '시간', '차다', '빠르다']"
25,jqoqoqns,"하...초딩이였는데...
그땐다큰줄알았다..","['초딩', '이다', '그땐', '크다', '알다']"
26,이상훈,갓범준...,['범준']
27,결혼하잡,듣고가요,['듣다']
28,khhy,이제 여름인데 벌써 봄 그립다..,"['이제', '여름', '벌써', '봄', '그리다']"
29,젝팟과콩나무,작사 작곡 편곡 장봄준 실화?,"['작사', '작곡', '편곡', '장봄준', '실화']"
30,jtojj,지인짜 띵곡,"['지인', '짜다', '띵곡']"
31,13학번공돌이fan,잘듣고갑니다,"['듣다', '가다']"
32,woojihwan,충격적인 사실 벚꽃엔딩은 멜론에서 1위를 해본적이 없다.,"['충격', '사실', '벚꽃', '엔딩', '멜론', '위', '해', '본적', '없다']"
33,Sh130,오늘하루가 알찬 하루였기를,"['오늘', '하루', '알차다', '하루', '이다', '기르다']"
34,김해낭만소년김찬호,좋은 음악 감사합니다.,"['좋다', '음악', '감사하다']"
35,Ieejaehyun,"와 어제의 차트 273위 실화냐 6,7년 전 노래인데","['오다', '어제', '차트', '위', '실화', '전', '노래']"
36,13학번공돌이,잘듣고갑니다,"['듣다', '가다']"
37,최지인,벚꽃좀비 진짜ㅋㅋㅋ 생각없이 차트 100 전체 재생했는데 들려 ㅋㅋㅋㅋ,"['벚꽃', '좀비', '진짜', '생각', '차트', '전체', '재생', '하다', '들다']"
38,군고무마무침,사재기들도 이 노래 지금 나왔으면 뒤져도 못이겼을듯.... 안 나오는 곳 없이 무한반복 중인데 어케이겨,"['사재기', '이', '노래', '지금', '나오다', '뒤지다', '이기다', '안', '나오다', '곳', '무한', '반복', '중', '게이', '겨']"
39,쌈자와의3자대면,그러고보니 이번 봄에는 순위권 못했네 코로나 ㅎㄷㄷ,"['그렇다', '보다', '이번', '봄', '순위', '하다', '코로나']"
40,smiiiiiii,올해엔 코로나 때문에 벚꽃놀이를 못 갔지만 벚꽃엔딩이 있어서 대리만족했습니다 ^^ 내년엔 우리 벚꽃놀이 갈 수 있겠죠?,"['올해', '코로나', '때문', '벚꽃놀이', '못', '가다', '벚꽃', '엔딩', '있다', '대리', '만족하다', '내년', '우리', '벚꽃놀이', '갈다', '수', '있다']"
41,녤룡,중학생때 슈스케 유행하고그럴때 팬되서 정식 음원없이 버스커버스커가 인터넷에 올렸던 음질 안좋은 mp3파일로 들었던게 엊그제같은데 이제 전국민이 다 아는노래가되어서 신기하네용ㅎㅎ 그때부터 족히 10년은 봄마다 들었지만 안질리는노래ㅠ,"['중학생', '때', '슈스케', '유행', '그렇다', '때', '팬', '되다', '정식', '음원', '버스커버스커', '인터넷', '올리다', '음질', '안좋다', '파일', '들다', '엊그제', '같다', '이제', '국민', '알다', '노래', '되어다', '신기하다', '그때', '족', '봄', '들다', '안질리다', '노래']"
42,nurisol,이맘때쯤 나도 모르게 듣고 있네요,"['쯤', '나다', '모르다', '듣다', '있다']"
43,hannegaby,우리 동네엔 이제 벚꽃과 목련이 없어요...,"['우리', '동네', '이제', '벚꽃', '목련', '없다']"
44,cocobeea,누가 뭐래도 겨울이 지나면 반가운 노래~^^,"['누가', '뭐', '도', '겨울', '지나다', '반갑다', '노래']"
45,봄해가을빛,이때만 되면 안들을 수 없는 노래,"['때', '되다', '안', '수', '없다', '노래']"
46,hannegaby,"우리 동네에 벚꽃 나무가
다 사라지고 목련 나무가
딱 한 그루만 남았어요.","['우리', '동네', '벚꽃', '나무', '사라지다', '목련', '나무', '하다', '그루만', '남다']"
47,큐랑둥,봄이 올때마다 이노래를 듣습니다아❤️❤️ 너무 좋아요오 ㅠㅠㅠ,"['봄', '때', '노래', '듣다', '좋다', '오']"
48,포용하리,"벚꽃연금, 안녕?","['벚꽃', '연금', '안녕']"
49,noonalala,이 시기엔 순위가 높아야 하는데 자가격리때문인지 생각보다 낮네..,"['이', '시기', '순위', '높다', '하다', '자가', '격리', '때문', '생각', '낮다']"
50,레드벨벳IRENE입니다,봄날이랑 더불어 좋아요 40만 찍었으면 좋겠다...,"['봄날', '더불다', '좋다', '찍다', '좋다']"
51,브금마니아,불후의명곡,['불후의명곡']
52,막내같은리더,잠자기전에 힐링노래,"['잠자다', '힐링', '노래']"
53,hannegaby,"슬픈 소식입니다...
선거하는 날이 끝난 다음 날 아침...
우리 동네에 벚꽃과 목련이 거의 다 사라졌어요...","['슬프다', '소식', '이다', '선거', '하다', '날', '끝나다', '다음', '날', '아침', '우리', '동네', '벚꽃', '목련', '거의', '사라지다']"
54,잭스는낚시중,"네 이노래가 차트에 올라왔으니까
봄이 왔네요","['네', '노래', '차트', '올라오다', '봄', '오다']"
55,이미_사용중인_닉네임임,이 노래라도 들어야지,"['이', '노래', '들다']"
