,youtube_id,comment,like_num,processed_comment
0,단점,아는형님 보고왔다 손,97개,"['알다', '형님', '보고오다', '손']"
1,점점,봄이다 나가야지! 앗 미세먼지! 다음주에 나가야지! 앗 코로나! 다음달에 나가야지! 앗 여친이 없네 ㅅㅂ,310개,"['봄', '나가야', '앗', '미세먼지', '다음주', '나가야', '앗', '코로나', '다음', '달', '나가야', '앗', '여친', '없다']"
2,Irulynn5020,전 벚꽃엔딩보다 꽃송이가가 더 좋아요 개취지만. ㅋㅋㅋ,1개,"['전', '벚꽃', '엔딩', '꽃송이', '가가', '더', '좋다', '개취']"
3,TheAngrySmile,19년에 온사람 손,15개,"['사람', '손']"
4,놈JSJ미친,"하모니카 솔로!
하모니카:...(눙물)",284개,"['하모니카', '솔로', '하모니카', '눈물']"
5,배고파쥬금,벚꽃엔딩보다 이게 더 좋다 봄느낌ㅎㅎ,166개,"['벚꽃', '엔딩', '이', '더', '좋다', '봄', '느낌']"
6,AnchorAn,"다른 가사보다 '그게 어려운거야, 그게 어려운거라, 그게 어려운거야'라는 가사가 참 좋다.",41개,"['다른', '가사', '그게', '어렵다', '그게', '어렵다', '그게', '어렵다', '가사', '차다', '좋다']"
7,1111이건희,18년에 온사람 손,13개,"['사람', '손']"
8,GHJ,단대 상명대 천안캠 교가 그 자체,59개,"['단대', '상명대', '천안', '캠', '교가', '그', '자체']"
9,코네,버스커버스커 너무좋아요 요즘 노래들은 영어가 반이라서 힘든데 버스커버스커는 영어가없어서좋아요,342개,"['버스커버스커', '좋다', '요즘', '노래', '영어', '반', '힘드다', '버스커버스커', '영어', '없다', '좋다']"
10,알PAKA,그래그래 피었구나. 이거 한 소절이 너무 마음에 박혀서 지금와서 또 찾아들으러 왔다....,27개,"['그래그래', '피다', '거', '하다', '절', '마음', '박히다', '지금', '서다', '또', '찾다', '들다', '오다']"
11,표도르도스토예프스키,지금 서울 얼어 죽겠는데 문득 이 노래 듣고 따뜻해짐,169개,"['지금', '서울', '얼다', '죽다', '문득', '이', '노래', '듣다', '따뜻하다', '짐']"
12,배준희,봄만 되면 듣는 노래🙆‍♀️❤🌺🥀🌹,2개,"['봄', '되다', '듣다', '노래']"
13,두팔곽,2021년에 본 친구들 모여봐,21개,"['보다', '친구', '모이다', '보다']"
14,김카를,몇번을 들어도 좋은 노래 ..,50개,"['몇번', '들다', '좋다', '노래']"
15,leehappynine,나도 콧소리 매력적이고 싶다.,35개,"['나다', '콧소리', '매력', '싶다']"
16,김으리으리,진짜  최고의 명반  안좋은노래가 없음,31개,"['진짜', '최고', '명반', '안좋다', '노래', '없다']"
17,AnchorAn,"그게 어려운 거야,
그게 어려운 거라,
그게 어려운 거야.",16개,"['그게', '어렵다', '그게', '어렵다', '거', '그게', '어렵다']"
18,깨끗하개맑개자신있,진짜 이 앨범자체가 걍 겁나 명반임..곡들이 다 이렇게 완벽하게 좋을수가....,11개,"['진짜', '이', '앨범', '자체', '겁나다', '명반', '임', '곡', '완벽하다', '좋다']"
19,박민수,학교수학여행때 이거 애들이랑 공연하다가 '하모니카 솔로!' 했을때 나는 하모니카만 불었을 뿐인데 뜨끔했었지...(다 옛날예기) 친구들아 보고 싶다!,12개,"['학교', '수학여행', '때', '거', '애', '공연', '하다', '하모니카', '솔로', '하다', '때', '나', '하모니카', '불다', '뿐', '뜨끔하다', '옛날', '예기', '친구', '보고', '싶다']"
20,YoungMoon,반주가 여자친구 처음 사귈때 내 신나서 촐싹대던 마음하고 너무 똑같네 ㅎㅎ,14개,"['반주', '여자친구', '처음', '사귀다', '때', '내', '신나다', '촐싹대다', '마음', '똑같다']"
