,youtube_id,comment,like_num,processed_comment
0,Cromartie,"My Korean friend/language exchange partner introduced me to this song and man I'm so glad she did, beautifully serene and joyful - fits the warmth of the season, gonna be my Spring anthem every year 좋아 😁",328개,['좋다']
1,SyJ,여기 지금도 듣는 사람 있나??,213개,"['여기', '지금', '듣다', '사람', '있다']"
2,ihP,"2020년 출첵 (오는 사람 있긴한가...?)
⬇️





수정) 오는 분들이 이렇게 많을 줄 몰랐네요!",143개,"['출첵', '오다', '사람', '있다', '가다', '수정', '오다', '분', '많다', '줄', '모르다']"
3,잉따,"10cm: 봄이 그렇게 도 좋냐 멍청아?

장범준: ㅇㅇ 년금날이든

10cm: 사실 나도",60개,"['봄', '도', '좋다', '멍', '청아', '장범준', '년금', '날', '사실', '나다']"
4,ssibalsekki,"저기 야구부중에 저 있어요 ㅋㅋ 
뮤비 찍을때 21살이였는데 지금은 29살..
내년에 30살..  20대 초반이 엊그제 같은데 시간이 참.. 빠르네요..",160개,"['저기', '야구', '부', '저', '있다', '뮤비', '찍', '때', '살다', '지금', '살', '내년', '살', '대다', '초반', '엊그제', '같다', '시간', '차다', '빠르다']"
5,레드율렌지,"지구 온난화로 봄이 사라진다면, 이 노래가 봄이 무엇인지 설명을 해줄 것이다.",1개,"['지구', '온난화', '봄', '사라지다', '이', '노래', '봄', '무엇', '설명', '해주다', '것']"
6,이태영,"벚꽃은 오고, 코로나는 갔으면..",37개,"['벚꽃', '오다', '코로나', '가다']"
7,간장게장,사실상 애국가 아니냐,844개,"['사실', '애국가', '아니다']"
8,박정빈,"델타, 델타 여기는 12월 22일 2일 뒤면 크리스마스다 여긴 아직 코로나가 있다.
3,4월에 한국 백신 투여한다는데 맞나요?
그리고 그때는 마스크 벗고 벚꽃축제 갈수있나요?",11개,"['델타', '델타', '여기다', '뒤', '크리스마스', '여기다', '코로나', '있다', '한국', '백신', '투여', '하다', '맞다', '그때', '마스크', '벗다', '벚꽃', '축제', '갈다']"
9,시원,장범준의 지갑이 두둑해지는 시즌이 돌아온다,21개,"['장범준', '지갑', '두둑하다', '시즌', '돌아오다']"
10,최민준,"코로나 휘날리며~
흩날리는 미세먼지~
이 거리를 나 혼자 걸어요~",125개,"['코로나', '휘날리다', '흩날리다', '미세먼지', '이', '거리', '나', '혼자', '걸다']"
11,Kilikim,"지금 고 3들 다같이 좋은 대학 붙자



흐에!!!",172개,"['지금', '고', '들다', '다', '좋다', '대학', '붙다']"
12,김현태,우리나라사람들이 들은 벚꽃엔딩횟수를 이어붙히면 하도많이 들어서 고려시대까지 간다고함ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,94개,"['우리나라', '사람', '들다', '벚꽃', '엔딩', '횟수', '이다', '붙다', '하다', '들어서다', '고려시대', '간다', '고함']"
13,SallyKim,나중에 응답하라 시리즈 만들면 벚꽃 엔딩 무조건 나올듯,24개,"['나중', '응답', '시리즈', '만들다', '벚꽃', '엔딩', '무조건', '나오다']"
14,하루살이,코로나가 극성인 겨울이 빨리지나가고 따스한봄이 빨리오기를 기원하며 2021 신년에 댓글을 씁니다,1개,"['코로나', '극성', '겨울', '지나가다', '따스하다', '봄', '오기', '기원', '하다', '신년', '댓글', '쓰다']"
15,ambered,이 노래 처음 들었을 때의 충격이 생각난다. 신나면서 설레면서 뭔가 아련하면서 갑자기 눈물날 것 같은...슈스케 안봤는데도 이 노래 듣자마자 이건 진짜 개띵곡이라는 생각 들었고..아니나다를까 그 해 벚꽃엔딩이랑 강남스타일이 휩쓸었음. 해가 지나도 질리지 않는 명곡,23개,"['이', '노래', '처음', '들다', '때', '충격', '생각나다', '신나다', '설레다', '뭔가', '아련하다', '갑자기', '눈물나다', '것', '같다', '슈스케', '보다', '이', '노래', '듣다', '것', '진짜', '개띵곡', '생각', '들다', '아니다', '다르다', '그', '해', '벚꽃', '엔딩', '강남스타일', '휩쓸다', '해', '지나다', '질리', '않다', '명곡']"
16,jhp,"이 영상이 올라온지 20년, 30년,40년 되면
그 날짜를보고 아.. 옛날 어릴적엔 그랬었지..
참 좋았지.. 하며 정말 울거같다..",29개,"['이', '영상', '올라오다', '되다', '그', '날짜', '보고', '옛날', '어리다', '적', '그렇다', '차다', '좋다', '하다', '정말', '울다', '같다']"
17,다탑,곧 있으면 많이 들으러 올꺼야,21개,"['곧', '있다', '들다', '오다']"
18,226ago,2010년대 멜론차트 종합 1등 ㅊㅊ,11개,"['멜론', '차트', '종합']"
19,천동원,아니 한국에서 유명한 노래인데 외국인들 겁나 많네,13개,"['아니다', '한국', '유명하다', '노래', '외국', '겁나다', '많다']"
20,뚱이,버스커 버스커는 있는데 버스작아 버스작아는 없나요,110개,"['버스커', '버스커', '있다', '버스', '작다', '버스', '작다', '없다']"
21,내가000이다,"2020년 마지막날이다
출첵하고 가라",1개,"['마지막', '날', '출첵', '가라']"
22,조민석,뮤비 웃긴다 애초에 강시라가 아니라 뒤에있던 벚꽃나무 보러 가는거였어 ㅋㅋㅋㅋ,30개,"['뮤비', '웃기다', '애초', '강시', '라가', '아니다', '뒤', '있다', '벚꽃', '나무', '보다', '가다']"
23,진경민,슬슬 준비하자 좀비들,43개,"['슬슬', '준비', '하다', '좀비']"
24,김뚜라미,이 노래가 봄을 듣고 이건 기적이라고 말했습니디,1개,"['이', '노래', '봄', '듣다', '것', '기적', '말', '하다', '습', '디']"
25,하람,조회수는 개많은데 외국인이 없는 유일한 뮤비 한국인들이 다 장악해버림,9개,"['회수', '개', '많다', '외국인', '없다', '유일하다', '뮤비', '한국인', '장악', '하다', '버리다']"
26,게으른동인30일동안뭐라도하자,가을에도 벚꽃엔딩 생각나서 들으러왔는데 정상맞죠?,8개,"['가을', '벚꽃', '엔딩', '생각나다', '들다', '오다', '정상', '맞다']"
27,헬창쇠질만능주의,"이노래 댓글 레전드 있었는데
언젠가 봄이라는 계절이 사라지면 이노래를 들려주면서 이게 봄이라고..",27개,"['이노', '댓글', '레전드', '있다', '봄', '계절', '사라지다', '노래', '들려주다', '이', '봄']"
28,BULpeuma,외국인한테는 우리가 despacito가사 안보면 뜻 몰라도 그냥 듯는 것처럼 듣는건가,10개,"['외국인', '늘다', '우리', '가사', '안보', '뜻', '모르다', '그냥', '듯', '늘다', '것', '듣다', '건가']"
29,jhp,"유치원때 이음악을 처음 들어보고
초등학교때 국어시간 수학 시간이든 이음악을 들어보고
초등학교때 친구들과 사거리를 걸으면서 이노래를 들어보고
초등학교때 기타시간 때 이노래로 연주하고
중학교때 음악시간에 이 노래를 들어보고
중학교때 친구들과 벛꽃보러 갈때 이음악을 
들어보고 
중학교때 공부하면서 지금 이음악을 듣고
이 음악은 내 인생의 적지 않은 부분을 차지 하고 있네 아마 이 음악이 나온지  몇 년, 몇 십년 뒤면 
그 시절을 떠올리며 ""ㅋㅋㅋ.. 그때가 좋았지""
하며 눈시울을 붉힐것 같다",4개,"['유치원', '때', '음악', '처음', '들다', '보고', '초등학교', '때', '국어', '시간', '수학', '시간', '음악', '들다', '보고', '초등학교', '때', '친구', '사거리', '걸다', '노래', '들다', '보고', '초등학교', '때', '기타', '시간', '때', '노래', '연주', '중학교', '때', '음악', '시간', '이', '노래', '들다', '보고', '중학교', '때', '친구', '벛꽃보러', '갈다', '때', '음악', '들다', '보고', '중학교', '때', '공부', '하다', '지금', '음악', '듣다', '이', '음악', '내', '인생', '적지', '않다', '부분', '차지', '하다', '있다', '아마', '이', '음악', '나오다', '몇', '년', '몇', '십년', '뒤', '그', '시절', '떠올리다', '그때', '좋다', '하다', '눈시울', '붉다', '힐것', '같다']"
30,zenobiz,저땐 미세먼지 걱정 안했는데.....ㅠ,13개,"['땐', '미세먼지', '걱정', '하다']"
31,권정현,이제 곧 들을건데 미리 듣죠,15개,"['이제', '곧', '들다', '미리', '듣다']"
