,user,comments
0,Star,창문 열면 봄이 와 있을 것 같아.
1,shs0022,"너희들에게는 여름, 나한테는 봄"
2,예쁜이,음악 해주셔서 감사합니다 :)
3,to.be.dandan,작년 봄이 생각나ㅠㅠ
4,mori365,이 노래 진짜 잘 만들었어요
5,mori365,전 다외웠어요👧🤬😀😅
6,shs0022,"화났다는 거예요, 아니면 좋다는 거예요?!"
7,moakids,노래 정말 좋은데 전남친이랑 사귈때 개행복해서 오지게 듣던노래라 현재는 못듣는중임ㅋ
8,sora798,안돼부터 좋아ㅜㅜㅜ
9,수환이는레몬에죽고산단다,아진짜 너무좋다 여친이랑 꽃구경가는 느낌...(사실 봄마다 여자친구없어서 꽃구경 가는 느낌이 뭔지모름)
10,minitiara,볼(빨간)사(춘기)의 노래는 신곡이든 뭐든 좋타...
11,pb0029,지겨워
12,jang3655,지겨우면 듣 질 말 던 가 ㅋ ㅇㄴ ㅋㅋㅋ
13,Sdvgvfgb2,Bfcscbh
14,Sdvgvfgb2,Bfhdvybj
15,Sdvgvfgb2,Bfvfbb
16,Sdvgvfgb2,Bhdvdbg
17,o3o,저기..... 해석좀......
18,wonymom06,말이 안됌
19,Sdvgvfgb2,Gdvcdvb
20,Sdvgvfgb2,Frfbxbfg
21,Sdvgvfgb2,Bghydbcn
22,Sdvgvfgb2,Sghhfvb
23,Sdvgvfgb2,Gjyhgvf
24,Sdvgvfgb2,Loveeee
25,sara990117,너무 달라서 당황스럽다
26,구삼마,아 노래개조아ㅠㅠㅠㅠㅠㅠㅠㅠㅠ반복재생1010101010시간중
27,park00714,아 왜 이제 들었지 진짜 좋네ㅠ
28,myp990730,봄이 지나갈 때까지 이 부분 들을 때마다 십센치 스토커가 생각나네요
29,mslsy2301,그걸꼭말해야되나?이해가안되네
30,onion,말 못할건 뭔데?
31,yoonmoonch,딱 붙어서~ 할때너무귀여우ㅏ요
32,ERIC,YAAAAAS
33,lyucheol,믿고 듣습니다
34,꽃답게,첫소절부터쌌다 하......♥
35,RothyGodness,신곡 너무좋아요 ㅠㅠㅠ 여전히 아름다운 음색
36,cjy11283,볼빨간사춘기 노래 분위기는 비슷해도 이 분위기에 계속 듣는다
37,05dmsql25,뭔가 드라마 OST같다ㅎㅅㅎ
38,JAMeeeee,왤케 들어본거같지..
39,뷔글미,와 봄 노래가 뽜바박 나오네 😍
40,anger3029,이쯤 되면 믿고 들음ㅋㅋ
41,Jin,상큼하다❤️
42,매력탱탱,시작하자마자 정신못차리게 좋다
43,0427,첫 소절 듣고 반해버림 ㅠㅠ
44,TaeYounKim,볼빨간 사춘기... 내 인생 최애 뮤지션💓
45,rlawns_,이것만 기다렸다 이번 노래도 믿고 듣습니다
46,허쉬,좋다...좋아
47,ybjang1357,노래 너무 달달하면서 좋아요!! 뮤비 넘 귀엽네요😄 이번 앨범도 믿고 듣습니당😊 볼빨간사춘기 항상 응원합니다!!💖💖
