,user,comments
0,lj2092,장범준 최고😁
1,쓾뗣쬺,LEGENO
2,문어,역주행 최고!
3,와쿠와콰,또 올라오네
4,anne6576,올해도 어김없이 출석합니다...
5,618vicky,벚꽃연금......
6,pstein,2020년 현재 시각 30위... 장범준 대단.
7,djkim010385,코로나싫어
8,푸우,2012년 노랜데 어떻게 이렇게 하나도 안 촌스럽고 좋을수가...💕
9,라이몽,뷰릉부릉
10,imkesso,역주행 1등 가즈아!!
11,mys0219,역주행 시동 ON
12,dam2070,쫙쫙 치고올라오네 ㅎㄷㄷ
13,hsci9690,왘ㅋㅋㅋㅋ 11위
14,Jayden,진짜 또 올라오는구나ㅋㅋ
15,테드마스터,벚꽃 좀비 ㅋㅋㅋ
16,asics89,너같은 사회쑤레기들땜에 그럼
17,sumin1382,1등 딱대
18,꼬꼬망,30위다!!
19,김태은,봄이다아아악!!!🌱❤️❤️❤️❤️❤️
20,sja,봄이 왔나보다...
21,쑥님,밖에 못나가서 올해는 좀 힘들겠네 했는데 개뿔..
22,drsjs75,입 벌리세요 2020년 벚꽃연금 들어갑니다~
23,음잘알,또또 올라온다 ㅋㅋㅋㅋㅋ 신기해
24,Sinip,봄이 왔나봐요~~ 54위했네
25,jeonghwa4330,차트 인💗✨🌸
26,듣기,슬슬 상승각
27,kangyj9322,깨어나라 좀비여
28,hyunjjang97,이제 올라올 때가 됐다
29,아이폰,곧 3월되면 다시 올라오겠죠?ㅋ
30,세종대제라드,"항상 봄, 여름, 가을, 겨울마다 그 시즌을 겨냥해 수많은 노래가 나오지만 몇년이 지나도 “이 계절엔 이 노래지”싶은 노래는 벚꽃엔딩이 유일하다."
31,snh21,겨울에는 머라이어캐리 크리스마스 캐롤이요.ㅋ
32,gmleo741,22위~
33,Rewarding,이 시각 '봄봄봄'이라는 강적이 사라진 벚꽃 엔딩
34,막고친남,애초에 강적도 아니었음 벚꽃엔딩은 넘사급이지 비빌게 안됨표절곡이랑
35,Rewarding,벚꽃 엔딩의 엔딩은 언제쯤일까...
36,m0323,27위!!^^
37,ninedog3,그리고 점점 내                      려                         간                            다...
38,고3,좀비 ㅋㅋㅋ 30위 까지 왔엌ㅋㅋㅋ
39,jump61500,와 좀비야 뭐야
40,ㅇㅇ,돈잘버네
41,ejrrud3109,"너와 벚꽃흩날리던 무심천을 이노랠 들으면서 드라이브하던, 너의 모교 서원대 교정을 그리고강의실을 함께 걷던 12년도 그날이 아직도 선명하게 생각난다. 잘지내지? 행복하길 바래! 그리고 고마웠어 잠시라도 내여자여줘서!"
42,우와,청주 사냐
43,닉넴머징,ㅋㅋㅋㅋ 실시간 차트 랜덤 틀었다가 이 노래 또 나왔네 벚꽃좀비...
44,hoolaboy,올라가기 시작한다
45,hoolaboy,올라가기 시작한다
46,Yang,연금이 또....
