,user,comments
0,uiiuiuiu,김민석 성대모사 본 이후로 자꾸 생각나서 옴ㅋㅋ
1,rok***,이노래는 벚꽃엔딩보다 더오래갈듯하다
2,aha***,으꽃송이가아~
3,롸여니,20대 대학교 다닐때의 낭만이 들어있는 곡...
4,지나오는나그네,단대호수 걷다가 들으면 좋다.
5,동서기,ㅂ랜덤 재생해놨눈데 꽃보며 걷다가 이 노래가 딱 재생되다니 ㅜㅜㅜ 기분이 너무 좋다잊고 살다가 듣는데 너무 좋네 노래가
6,우오,와진짜 봄마다 직접 검색해서 추가하게만드네;;
7,jij***,나혼자산다에서 듣고 바로 스트리밍 중..
8,❤️,슬슬 또 올라오는구만😊
9,wsg***,그냥 언제나 들어도 굿..
10,seobly,새삼 또 좋으네..... 정말.....
11,충성충성^^7,영업왕 장범준. 여수는 이미 갔다왔고 오늘 단대호수 걸으러 감니다
12,lot***,단대 온김에 호수보면서 듣는데 기가막히는구먼🙈
13,시바견,개인적으로 벚꽃엔딩보다 더 봄날느낌나는듯
14,juw***,좋아좋아 나는 모태 솔로~끄어어엉...
15,dnw***,나만 그런게 아니구나
16,nai***,진짜루 귀여운 노래🌸👀🌼
17,Zino,커피 한 잔 하자고 불러~ 이거 금세 사랑에 빠지는 웹툰 생각난당ㅎㅎ
18,ooo***,꼬쏭이가~~꼬쏭이가~~~
19,ald***,그래그래피었네
20,소피,난 이게 벚꽃앤딩보다 훨씬 봄같음 🌸💐
21,정혀니,"(っ "" ~ "")づ ⌒♥"
22,rng***,노래에 하모니카가 광석이형님만큼 잘어울리는분
23,호도리,나는 네게 얼마 만큼 특별한 건지
24,간ZI나는 사나이,65번들었는댕..;
25,jos***,좋아좋아 나는 모태솔로
26,nevertheless,"사랑은 타이밍 인생도 타이밍,그때의 우린 만났어야 했던 타이밍,,지금의 우린 각자의 길을 가야만 하는 타이밍이었다..."
27,ㅈㅎ,장범준의 자유로운 영혼이 묻어있는 곡 봄마다 주구장창 듣는다💕
28,vic***,벚꽃엔딩말고 꽃송이가
29,sha***,으응~~ 올해도 이렇게 시작되는구나!항상 희망과 설레임을 주던 봄날의 명곡🌸
30,hee***,가사알고들으니까 더 설레고 좋은ㅎㅎ
31,gloomysunday,"넌 한 번도, 그래. 안 된다는 말이 없었지."
32,Nas,노래 완전 좋음!
33,네오,^^ 꽃 한송이가~~~
34,지수제니로제리사,꽃송이가 꽃송이가 그 꽃 한 송이가 그래 그래 피었구나
35,는,좋아좋아 아프니깐 솔로라고 들린사람?그렇다고 찔린건 아니얔
36,twi***,꽃송이가 꽃송이가그래그래 피었네
37,WIZ_NINL,세트메뉴임다!
38,lyn***,봄이온듯해 들으러 왔슴다
39,나우,"내가 꼬시고 있다는 걸 모를 리 없는 너. 그런 날 마다하지는 않는 너. 그게 어떤 의미인지, 우린 어떤 사이이인지 궁금한 마음뿐."
40,하루,꽃송이가 꽃송이가 그래 그래 피었네
41,dreamer,봄 밤 생각난다
42,mat***,벚꽃연금 ㅎㅎ
43,dia***,좋아 좋아 하모니카 솔로 ㅋㅋㅋㅋ
44,Skany,사쓰가 벛꽃연금!!
45,con***,연애하고싶다
46,JK,벚꽃앤딩과 양대산맥
47,jws***,그래그래피었구나
48,mag***,전화걸고싶을때마다 대신하는 노래
49,pro***,꽥꽥♡♡♡
50,mis***,두준두준 설리설리
51,J,하모니카는 봄이랑 잘어울령>_<
52,jiy***,버스커...
53,qkr***,01085588010
54,qkr***,01047254277
55,ays***,넘 ~ 좋은노래버스커버스커노래는봄에들어야좋은노랭~
56,eke***,맜있는거 먹자고하면 넘어오는사람이있을까?
57,ej0***,참 좋네요‥중년이 듣기에도‥
58,추억윤혜,꼬셔 불러 꼬셔 안된다는말이 없었지 어려운거야
59,maj***,연애하기전의 그 설렘이 새록새록 떠오르는 솔직담백한 표현이 너무 좋네요 봄이 되면  먼저 떠오르는 음악 !앞으로 잘부탁드려요~!
60,mis***,맛있는거먹자고 꼬셔
61,hys***,ㅋㅋㅋ ㅇㅇ 마즘ㅋㅋㅋㅋ
62,J,ㅋㅇㅇ
63,J,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ나
64,kjs***,없어
65,🌚,치킨이면 가능
66,ㅈㅎ,떡볶이 콜
67,J,헹
68,kjs***,설렘이 없네요;;
69,포효,좋아좋아 하모니카 솔로
70,suy***,봄이니까~>.<
71,kjs***,삐리삐ㅃㅂ
72,Ho,삐릴라릴리ㅣㄹㅃㅂㅃ
73,twi***,삐리리릴리ㅣㅣㅣ리
74,👿,삐리리리삐삐립삡
75,sje***,젤조음 ㅋㅋㅋ
76,com***,져아 조아 하모니카 쏠로!
77,J,봄 느낌아니까~
