,user,comments
0,소란했던시절에,날클립을 알고있니?
1,혜원,이 노래가 발매된 2019년 4월 2일에 난 친구랑 꽃놀이 갔었는데... 올해는 꽃구경도 못갔다.....
2,ㅣ승민ㅣ,너도 봄❤️
3,혜원,마음만은 봄🌸
4,dri***,귀가  k.o
5,you***,"아쉽다, 너희 둘.."
6,hey,오랜만에 하루종일 생각나서 들으러 왔다 역시 좋네ㅜㅜㅜㅜㅜ
7,seo***,모! 흐~고오~~
8,hac***,성지 순례 왔습니다 . 수능 잘치게해주세요 🙏🏻 빠르게 시국이 끝났으면 좋겠습니다 다들 조심합시다 .
9,youjinvely,왜 그럴까 사람들은 그냥 봄기운이 좋아눈치 없이 밖을 나가는 걸까이 시국에 가서 너무 공감이다🌸🌸ㅋㅋㅋㅋㅋㅋㅋㅋ
10,🤨,2:58 화음 너무좋다ㄹㅇ
11,제이지,두분 모두 아티스트로서 응원합니다 따로 활동하셔도 두분 다 빛이되세요
12,su_k._.722,이시국에 딱 맞는 노래🤣
13,브랫,봄 노래 중에 젤 좋다🥰
14,zel***,날씨 따뜻해지니까 생각나서 온사람 🙋🏻‍♂️
15,fad***,원하는 대학 꼭 가세용 파이팅
16,gkf***,나만 봄? 난 너만 봄😊
17,ㅈㅊㄹㅊ,좀만 있음 역주행하겠지? 넘 좋다...😍
18,bunny🐰,🌸🌸
19,hoo***,드뎌 역주행할 시간만 남았네요^^
20,진짜사나이중가짜사나이,"지만 봄,"
21,메롱,다시 들으러 옴 ㅜㅜ 곧 봄이니깡
22,loh***,안지영! 우지윤! 볼빨간 사춘기! 나!만! 봄!
23,ㄹㄹㅇㅇ,잘하면 내년봄되기전까지 차트아웃안당하겠는데...?
24,K.N.E,와 지금 여름인데 지금 들어도 매우 만족 스럽고 좋아여! 1년 후 봄에 듣기로 예약!♡
25,EXINE,좋은곡.
26,rud***,노래딱좋네
27,but***,개좋타 ㅜ ㅜ
28,kaz***,ㅋㅋㅋㅋ작곡 참 잘함.. 취향은 아니지만 아이스크림 광고 비지엠 늒힘...
29,PINACLE,"이 노래 나올때 훈련소에 있었는데ㄹㅇㄹ 나만 봄 온거같고 벚꽃나무 아래에서 ""훈련은 전투다"" 외침..."
30,로긔,듣기 좋습니다 취저
31,pmd***,귀여워욬ㅋㅋㄲㅋㅌㄱㅌ❤️❤️
32,ccc***,딱부토소~
33,요마맨,clean&dirty+officially missing you
34,dah***,플랫창법 ㅋㅋ 억지스럽거나 할머니같기도ㅋ
35,you***,볼사노래는 어째 다 귀에 익숙할까 한 2년전에 카페에서 커미마시면서 들어본 느낌
36,썬ㄴ,웃는게 정말 예쁜 안지영이 부르니까 배로 좋음..💘
37,ser***,더 가가가면 정신 못차려가 왜 노가다 까면 정신못차려로 들리지 ㅋㅋㅋㅋㅋㅋ
38,🦋,왜 다 비슷해서 이태까지 곡이 다 합쳐진 걸로 들리지..
39,오이당근양파,점점 노래 밀당이  ㅎㄷㄷ..
40,kkdoq,딱붙어서~부분 좋당
41,skskal12,딱붙어서가 좋넹
42,현지,너무 가사가 예뻐요❤️💖💙
43,cho***,노래 넘 좋다💕
44,che***,뮤비가 증맬루 귀여우니 다들 뮤비 봐주셧음 좋겟다
45,seu***,딱 붙어서 ~ 하는데 왜 코끝이 찡해지지
46,ksi***,공기남녀-끌림 제일 좋아하는데 비슷한 느낌이 나서 더욱 끌리는 곡임 볼사 다시보네요
47,갓윤하,인정
48,서하,마자요ㅜ
49,hei***,진짜 너무 조음 ㅜㅜㅜㅜ 개성 살려서 비슷하지만 또 다르게 매번 만들기두 힘든데❤️😍😍
50,ㅣ,하루종일 이거만 듣고있어요...
51,youmusthappy,몰~~흐고 가 계속 맴도는 ヽ( ᐛ )ノ
52,봉식이,벚꽃도 뭐고 다 필요없쏘~ 😂 ㅋㅋ
53,❤️,나만 봄...나만 바라봐 주는 사랑 해보고 싶다
54,썬ㄴ,이번 봄은 이 노래다🌷
55,썬ㄴ,밝기만 하지않고 플랫이 섞인듯한 음정이 너무 매력있음💖💖
56,가나다라라라랄라라라라라,좋아요
57,isu***,1주일만에 스트리밍 800만을 찍어버리네... 월간차트 1위 확정적
58,긍정,앞부분이 10cm가 생각나네요ㅎㅎ
59,지누,안지영 가수님 혼자 솔로해도될듯 노래는 전에 노래가 더좋다
60,doh***,괜찮긴 한데 딱히 1위 할 정도는 아닌 듯 하다 ㅜㅜ
61,nin***,봄이구나 참 달달하네
62,pkb***,살짝 우연히 봄 이라는 노래랑도 어울리는 느낌적인 느낌!노래 좋네요 :)
63,pet***,officially missing you랑 코드 진행 완전 똑같은데 ㅋㅋㅋ 듣기는 좋음
64,pet***,물론 후렴부분이
65,ㅇㅇㅇ,날카롭다 나도 그런생각했는데
66,ada***,노래좋다진짜 중독성굿
67,애긔겅듀,구창모 보고있나 ?
68,비행소년,진심 음원 최강자!!👍😍
69,all***,이번 앨범커버 너무너무너무예쁘다!
70,쪼오리,너무 좋다. 계절인 봄은 점점 사라지고 있지만 봄 느낌의 곡들이 더 많아져서 봄을 잊지않게 해줬으면!!
71,밍,아이구 좋다 좋아 봄이 왔네 봄이 와 ~~ 💐❤️
72,블링꽁,안하던 스밍 하게 된다. 1위 무조건 유지 시켜줘야지.
73,js0***,도입부 진짜 좋다.
74,tyt***,개ㅐㅐㅐㅐㅐㅐㅐ 좋네;
75,yjh***,와~~블핑 신곡이 나왔는데도 아슬아슬하게 1등을 지키고 있네요~~★★
76,jdh***,이번 노래는 입에 안붙네
77,d14***,남녀 듀엣으러 불러보면 진짜 좋을것 같은데
78,ser***,맨날 얘네 보면 사촌간 볼빨기 생각나서 혼자 엄청 빠갬 ..ㅋㅋㅋㅋㅋ
79,his***,GRAY - 하기나해 비트랑 너무 똑같은데.
80,hou***,"이거 긱스노래랑 너무 똑같,,은데 좋음 ‎𐨛 ‎𐨛 ‎𐨛 ‎𐨛 ‎𐨛 ‎𐨛 ‎𐨛 ‎𐨛 ‎𐨛 ‎𐨛 ‎𐨛 ‎𐨛 ‎𐨛 ‎𐨛 ‎"
81,썬ㄴ,봄이 왔네🌸💖무지개 16시간은 역시 다 이유가 있음..
82,하ㅓㅁ,노래 다 비슷하고 플랫되는 노래창법 듣기싫어서 패스 개취
83,mhj***,ㅋㅋㅋㅋ 진짜댓글 ㅈㄴ역겹네 멜론이랑 비교 ㅈㄴ된디아주 씹선비에 시비충들 집합소인가 그리꼬우면 느그들이 노래내세요 뭐만하면 이건이런데 이건이런데 그러면서 쳐들을거면서 꼭 토달고 ㅉㅉ이렇게해야 성이풀리나 찐새기들
84,soo,노래 잘 만드네.. 또 잘 부르네. 볼빨간사춘기 오랫동안~  흥하자
85,rai***,처음 3소절 듣고 19금 노래인줄 ㅋㅋㅋㅋ꼬춘넣어둬
86,son***,역시 안지영언니 음색 짱조타
87,레쓰비대주주,안지영은 천재임 반박은 돈으로 받음
88,옆길로새,첫 멜로디 듣고 또오해영 생각남
89,hoo***,역시는 역시다~볼사 노래 넘넘 조아요^^
90,seo***,노래도 좋은데 진짜 바닐라맨은 못하는게 뭐야ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
91,.,갓지영 작사작곡ㄷㄷ
92,jue***,벚꽃 이쁘네 하하하(주르륵)
93,쪼꼬우U,갠적으로 볼4 럽송중 역대급이다. 솔직히 한 가수가 마음에 꽂히는 노래를 연속적으로 앨범내기 어려운데 다음 곡은 뭔가 그 전의 좋은 곡에 비해 좋은 마음이 좀 떨어지는 경우가 있는데 볼4는 진짜 그런 게 없다... 분명 비슷한 느낌이 들기도 하지만 뭔가 그 전 노래보다 더더더 좋아진다. 잘 듣! ㄱㅅㄱㅅ 흫하자><
94,owl***,ㄷㄷㄷ레드플래닛이후로 볼싸 최고퀄인듯
95,윤윤,사랑은뭔데 노래랑 간주부분이 너무 비슷한것 같아요 ㅋㅋ
96,^^^,저기....무지게16시간은 무엇을 뜻하는지 알수있을까요?뭔지 몰라서요....
97,상또리,지붕킥이용
98,seu***,화가 많으시네요... 불쌍..
99,mhj***,별로화없는데 ㅋㅋ 댓글안보고 말하는게더불쌍하네요.;;
100,데미안,아 ㅁㅊ나봨ㅋㅋㅌㅋㅋㅋㅋㅋ퓨ㅠㅠㅠㅠㅠ
101,스타벅스,아... 뇌가 불순하시네욧!! 라며 나도 그렇게 들었다고한다..
102,hop***,ㅋㅌㅌㅋㅌㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
103,yuh***,ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아개웃겨미쳨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
