,user,comments
0,새벽2시55분,히든싱어 지금 보고 있는데 오랜만에 들으러 왔어요 ❣ 봄을 대표하는 노래
1,lit***,햐!!!!!!............... 노래방에 가서 부르고 싶다!!!!ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 노래방에 갈수있다면은 반드시 이노래를 부른다!!!
2,123,대학교 입학하고 함께 나왔던 노래..이 노래는 평생토록 벚꽃연금과 함께 내 추억곡일듯...노래 듣자마자 다음날 벚꽃보러 첫 데이트 갔었는데 새록새록이네🤭
3,미뇽,고음 머야...
4,🦄,봄 바남 휘날리며~
5,다다다닷,봄이되면 꼭 듣는곡🌸🌺
6,bluegeein,봄에 들으면 좋은곡♡
7,kjw***,고음 뭐냐 ㅎ ㄷ ㄷ 진짜 잘하십니다
8,kjw***,이게 바로 봄 대표 곡이지 ㅋㅋ
9,운형,어떻게 이런 노래를 만들었지
10,UNKNOWN,노래 가사처럼 요즘상황이 그렇지 않네ㅜ코로나 사라지면 겁나 빨리올라올텐데
11,genie,전설의 시작👍
12,웅웅,올해도 벚꽃좀비등판🤣
13,wog***,??? : 수금하러 왔습니다~
14,뮤직이즈마이라이프,현 시각 40위 축하드려요😖🌸 1위까지 쭉쭉 올라가기를💖💚
15,gjt***,봄철 노래 최고존엄
16,yg0***,점점올라간다
17,ilikwiwy,이노래 없으면 뭔가 봄이라는 느낌이 잘 안 난다
18,pap***,추우면 내려가고 따뜻하면 올라오고ㅋㅋㅋㅋㅋ기상청이냐곸ㅋ
19,jak***,24위 ㄷㄷ
20,kab***,"ㅋㅋㅋ 들을 생각 없다가도, 날이 너무 좋으니 찾아듣게됨 ㅋㅋ"
21,cha******,충격적인 거라면....올해 초등1학년 되는 아가들은 이 노래보다 세상 데뷔 후배라는 거...
22,UNKNOWN,올라온다..
23,마멜리오,벚꽃좀비가 다시 돌아왓다......ㄷㄷ
24,kho***,언제쯤이면 봄에 이노래가 안나올까
25,gon***,벚태식이 돌아왔구나~ 반갑다~
26,suj***,차트200듣기하고 노래듣고있었는데..벚꽃엔딩ㅎㅎ차트 200 안에 올라와있다니..ㅎㅎ벚꽃연금 시작이군여ㅎ 노래 완전좋아여
27,inv***,들을 때가 왔다 ㅋㅋㅋ
28,xxangel,장범준... 개부럽다
29,석이!,와..차트 뚫어 버리네...
30,벼리네,기상청보다 정확한 건 함정
31,W@1K€R$-JO|N,ㅎ
32,◡̈,스멀스멀
33,준서맘ㅇ,뭐가올라옵니까
34,준서맘ㅇ,데체어째서
35,snow,별로 안걸릴껄..;; 한 10년 이나 20년에 세상 아가들 데뷔하면 이제 우린 빠지게 되고 그러면 ..; 안나오지 않을까?
36,Cosmos✨,ㅋㅋㅋㅋㅋ
37,인친하실?,이 노래 나왔을 때 날씨도 얼마나 사랑스러웠는지
38,두두,"봄이좋냐,벚꽃엔딩,봄사랑벚꽃말고 3대장"
39,fhw***,"ㄹㅇ 엔딩이 돼버렸자나,,"
40,행복지수,얘드라 가즈아!
41,아쉬움을뒤로하고,코로나 때매 뭔가 더 노래를 찾아 들을 것 같아서 벚꽃 연금 올해도 축하 드립니다...부럽다 매년 봄만 되면 최고의 국민 거래처 추수 ㅋㅋㅋ 노래로 벚꽃 놀이 대리만족 느껴야지
42,dyd***,꽃놀이도 못가는데 이거라도 들어야겠다
43,ㅇㅇ,님들 코로나.. ㅋㅋ
44,진정,10위권 가즈아~
45,김두현,봄만 되면 이 노래가 그렇게 좋더라..
46,삼선쟁반짜장,벚태식이 돌아왔구나 반갑다 근데 흔들리는꽃들속에서 뭘 어떡하겠냐
47,soo***,이노래를 들으면 2012년 봄 그때 그시절 기억이 떠오른다 그때 난 자대로 가는중이였지 그때 참 힘든 이등병 군생활 했었는데 ㅎㅎ 시간 참 빠르다
48,꾸꾸까까,돌아왔구만ㅋㅋㅋㅋㅋ
49,자이언트,올해도 여김없이 생각나는 곡
50,순탄이,돌아왔구나
51,허니도토,역시 봄에 들어야 제맛
52,swa***,벚꽃엔ㄷㅇ 말고 차트인도 안됌 잡곡 껴들기 ㄴㄴ
53,ben***,벚꽃엔딩 말곤 그닥
54,ㅁㅁ,저랑 똑같아요 12년 초 군번! 전 야수교에서 버스타고 처음 들었는데
55,shj***,오태식이
56,Goodnight,아니 또 올라오고 있넼ㅋㅋㅋㅋ사실 나도 들으러옴
57,은주몬,봄이 왔지만 코로나 때문에 벚꽃을 즐기지 못하지만벚꽃엔딩 노래로 위안이 되네요~내년에도 이노래와 함께^^
58,hmh***,온다 온다 ㅋㅋㅋ
59,pheyy,올해도 올라오네ㅋㅋㅋ
60,옴뇸뇸뇸,역시 봄되면 무조건 올라오는 노래 ㅋㅋㅋ 봄마다 듣는 노래라서 1년마다 들어서 질리지도 않고 벚꽃보자마자 다시 리스트에 담았다 ㅎㅎ
61,이달의수녀,49위 ㅋㅋㅋ
62,이달의수녀,또 올라온다 ㅋㅋㅋㅋ
63,gcdv,이야 벌써. 8년이이라니....
64,ado***,2012년 3월에 남편과 처음 연애를 시작하며 많이 듣던 노래지금 애 둘 아빠엄마가 되어 들어도 그때 첫데이트 생각나서 가슴이 두근두근
65,nik***,이 노래는 먼 훗날 21세기 봄에 듣던 민요로 알려지게 되는데....
66,토깽,봄=벚꽃엔딩 ㅠㅠ 진짜명곡👍🏻설레요들을때마다
67,널,이 노래 안듣고 지나가는 봄은 없다. 30년 뒤에도 듣고 있을듯..!
68,민트ㅎ,순위 점점 올라간다 ㅋㅋㅋㅋㅋㅋ
69,sks***,꽃폈길래 들으러왔슴당><
70,******,벚꽃 좀비 또 부활ㅋㅋㅋ
71,xog***,장봄준.. 2030년에도 찾아 들을 듯..
72,pilEboE,벚꽃의 연금술사 J.B.준...
73,너로채워갈계획만가득해,온다온다
74,홍미미,"코로나 때문에 밖에 못나가도 봄의 느낌을 느낄수 있게 해주는 노래,,, 감사합니다"
