,melon_id,댓글
0,블루핀투나,이 곡 들으면 생각나는 애가 바로 첫사랑
1,Mia_ong,한거나 벚꽃엔딩도 불러조
2,최치훈여자친구,광안리에서 불러줘 한건아
3,OGSA,종나 좋아
4,LA_,아니 그래서 서한건이가 누군데 알려줘요
5,내이름은필충만이에,이거 가사가 너무 두근거려서 좋아 ㅜㅜ
6,김진아,기타 연주 누군지 궁금해요
7,이경석,새어나가~~~
8,Junejulyaugust,크 시작할 때 기타소리... 장범준이 버스킹하는 동영상으로 이노래 처음 듣고 너무 좋아서 충격 받았었지... 이 앨범이 장범준의 그 천재적인 그 느낌이 제일 많이 남아있어서 아직도 가장 좋아요.
9,영광의승리자,"개인적으로 1집때 이게
제일 좋음"
10,탈퇴한 회원,첫눈에 반한 그 느낌을 주는 노래임 딱 처음봤을때 나는 널 좋아하게 될걸 알았어
11,jklee5235,정말 사랑은 감추려해도 그 사람 앞에서는 감추어지지 않더라. 어떤 형태로든 나타나더라.... 들키지 않으려 애쓰는 건 내 마음 때문에 관계가 틀어질까 그러는건데 사랑은 좀 처럼 마음대로 되지 않더라
12,dkrlzhdd,그시절에 매일듣던 기억이 담긴 곡 ㅠㅠ 들을때마다 몽글몽글해져
13,깡낑깡,어제부터 계속 듣는 중ㅠㅠㅠ넘 좋아
14,hyh7841,HOT 풑여주세요
15,해경특채,올해의 벚꽃도 함께
16,osu0928,히든싱어가 이걸 살리네.. 나만알고싶었는데 ㅠㅠ
17,하하실성녀,"한건아~~ 뿌꿈아~~
너무 찰떡 이자나
너희들이 나의 첫사랑 이다!!"
18,메리쿠,박서커박서커 해체됐다는 소식에 후다닥 달려와봤읍니다.
19,대통령_박정희,잘 들었다.
20,coolboyxxx,전자기타 멜로디가 너무 좋음
21,1847281,수영구 존잘남 한건아 잘 지내니
22,좋아하는사람이너무많은판타지,너무 너무 좋다... 정말로 사랑한다면이랑 이 노래 진짜 좋음...
23,dDDoooo,한건아 사랑했다.......
24,탈퇴한 회원,잘지내냐?ㅋㅋㅋㅋㅋ
25,Seotape,"기타도 너무 좋다 :)
똥 또도동 또도도동 또도동~~"
26,Allofthelights,불안한 계절
27,꾸꾸겸,내 버스커 1위곡
28,결혼하잡,듣고가요
29,jtojj,헋 형제가 가사썼구맘
30,13학번공돌이fan,잘듣고갑니다
31,PYOUNGS,아니 그래서 한건이가 누군데
32,6vy6,너무 좋다
33,13학번공돌이,잘듣고갑니다
34,UNDERGROUND,"고등학교 때 너에게 고백 못한 내가 후회된다
항상 고운 민아"
35,Cjadoublem,한건이가뭔데 도배질이냐 진짜 개역겹네 ㅋㅋ
36,sshang_grila_,한건아.......보고싶어.....원이랑 6월에 같이와....
37,hwanri,한건이가 누군데 씹덕들아
38,성8잉,한건아 이북에서 다?? 만나
