,melon_id,댓글
0,나너니내,"조기전역하면 2021.04.02 날에 전역을 하는데
동서울가는 버스안에서 이노래들으면서
전역하는 기분을 만끽하고싶다
하아..빨리와라 4월2일 ㅠㅠㅠㅠㅠㅠ"
1,kumpa,안 사주면 ~~ 안 먹고 말어 ~~
2,수비드스누피,ㅃㅊㅋㅇ ㅇㄱㅇㄴ~
3,멜창,ㅇ자겨
4,승거이승거이승거이,크으..너무 좋아
5,열혈리쓰너,이 노래 처음들었을때 너무 좋아서 아껴들었었는데
6,코코코코코코코입,"볼사 인생곡 아닌가 이거.. 다른 노래도 다좋은데
이건 진짜 무슨 영혼이 담겨있는 느낌임"
7,무민만두,날클립을..알고있니..
8,강형욱도버린개,"겨울에 들어도 좋구나,,,"
9,콩떡됐다,이 노래 들으면 되게 설레는데 한편으로는 또 되게 씁쓸함 ㅠㅠㅠ
10,코코코코코코코입,행복을 주는 아티스트 : )
11,HeyMr.,바닐라맨이 영혼을 갈아넣어 만든곡 아닐까
12,Thislov,작년 봄에 이 노랠 듣고 썸을 시작했지
13,코코코코코코코입,어떻게 이런 노래를 쓴거지.. ㅜㅜ
14,캐캐캐,역주행 하기까지 5달 남았다. 대략 반년 뒤 다시 역주행 할 노래 입니다.
15,토토토롱,00년생들 대학생활 시작하는 그 시점 강제 회상 시키는곡
16,classicbrown,"하 진짜 봄의 설렘을 너무 잘 표현한 곡 지금 들어도 설렌당,,,"
17,hyne81,댓 900갑시다
18,나는성하,벗꼬또 머고 다 필요없쏘
19,jp.p,flower sunshine 완벽한 하룰 사실..... 너와 걸을수 있다면 얼마나..... 좋을까
20,꺄호호오오,요즘 나의 마음...
21,볼빨간소금인형,작년 봄 일하느라 힘들때 참 많이 도움이 됐던 노래였지요 업무 스트레스때도 신기하게 이 노래를 들으면 스르륵 풀렸다는ㅎ
22,탈퇴한 회원,전주 시작하자마자 작년 봄으로 돌아가버렸다..
23,bluesky0922,바~아보 션샤인 완벽한할~
24,왜나만봄,이 노래만 들으면 몸이 움찔하네요 좋은 노래
25,stxr,고3시절 수험생활을 견디는데 힘이 되어주었던 최고의 노래. 꼭 새내기가 되어서 이 노래를 들으며 대학교 잔디밭에서 하늘을 보며 누워있고싶었다. 달콤한 목소리와 마음을 울리는 가사가 너무 좋다.
26,듣자고이,안녕하세요? 옛날 전 이노래를 찾아봐서 듣기전에 아파서 입원했어었요 근데이노래를 듣고나서 다나아져서 퇴원 했어요 이노래완전좋아해요!
27,HGONY,감사해요. 좋은노래덕분에 힘이나요 : )
28,코코코코코코코입,"신교대 훈련 4주차때 나왔던 노래.. ㅜㅜ 조교가 들려줘서 첨 듣고 바로 빠져버림

그후로 볼사 노래들에 기대어 잘 버텨온듯 ㅎㅎ
이제 90퍼 넘었다 하히"
29,귀리귀리귀리귀리,크 너무 조와
30,기가찬월급,"전남친이랑 헤어졌을때 나왔던노래 ㅋㅋㅋㅋㅋㅋ
가사 넘 취저"
31,16학번문돌이,잘듣고갑니다
32,결혼하잡,듣고가요
33,모구휘,ㅋㅋㅋ이 노래 짝사랑 할때 너무 많이 들어서 이제는 들을 수가 없는 노래...ㅋㅋ노래는 너무 좋은데 쪽팔려서..가끔 카페에서 나오면 진짜 창피해욬ㅋㅋㅋ
34,jp.p,노래가 좋아유
35,잼벋,인생곡
36,파쵸스,"여기 이 노래 나옴
문제는 역사왜곡이 아니다. 왕조 실록과 직접 대조해본 나랏말싸미 리뷰 1부
YouTube에서"
37,김해낭만소년김찬호,좋은 음악 감사합니다.
38,캐캐캐,헐 1억스밍이예요?? ㅁㅊ
39,호훈9905,1억 스밍 !
40,Special우주,1억 스밍 달성~⭐️⭐️
41,캐캐캐,1억스밍 꼭 찍으시라고 계속 듣고있습니다!!
42,캐캐캐,아직 1억 스밍 못찍었나요??
43,탈퇴한 회원,하트 15만개!
44,캐캐캐,노래 진짜 아름답다
45,주선광,여자 십센티ㅋㅋㅋㅋㅋㅋㅋ~☆☆~
46,잼벋,최고오
47,인제,"썸녀가 불러줬던노랰ㅋㅋㅋㄱ그때 정말 행복했는데
남자친구생겼더라...?ㅋㅋㅋㅋㅋㄱ잘지내닠ㅋㅋ"
48,호돌이푸,좋아요
49,이노래만듣고-공부하러갈게,벚꽃도 뭐고 다 필요없어 라는 가사 너무 신선해서 좋다
50,짜냥하는여친,노래가 너무 쌍큼해❤
51,이윈승스훈턴,ㄹㄱㄴ
52,13학번공돌이,잘듣고갑니다
53,탈퇴한 회원,146위 51810명❤
54,bemyb,진정한 사회적 거리두기 곡
55,덕잡,좋아해
56,lovering09,안지영너무이쁘고노래도잘불러요ㅠ~~
57,노래가난다요,몇번을 들어도 새로운곡ㅠㅠ 질리지가 않아요 ㅠㅠㅠ
58,박재형,이원진 사랑해❤️
59,LiIpump,도입 귀여운 통통 음부터 훅부터 화음이랑 마지막 딴딴 따라 딴 딴 따라아~ 하는 기타 후렴 음까지 완벽해 벚꽃엔딩 봄날과 함께 3대 봄 노래다
60,솔레눙,작년 이맘쯤 자대 전입오고나서 들은 첫 기상송이 이거였는데 그래서그런지 들을때마다 긴장하고 어색하고 새롭던 그때가 떠오른다.
61,ssujijn__,플라워 선샤인 할 때 뭔가 그냥 벚꽃놀이 온거같음 있지도 않은 벚꽃나무들이 눈앞에 있는거같고~ 벚꽃 향기들이 나는가같고~
62,훈발롬,선견지명 쌉오졌고
63,닉네임 없음,ㅋㅋㅋㅋㅋㅋㅋ가사ㅋㅋㅋㅋ 1년을 내다본 그녀의 예지력...
64,lvvvy,"왜 그럴까 사람들은 그냥 봄기운이 좋아 눈치 없이 밖을 나가는 걸까
완전 이시국 가사ㅋㅋㅋ"
