,melon_id,댓글
0,돌르랑_도트가_제일_좋아,아무리 잊으려 해도 봄만 되면 머릿속에 들려서 절대 잊지 못하는 노래
1,ailto2,와 2010년대 1위였어??? 미쳤다
2,HRANG,그냥... 봄 아니라도 늦가을이나 겨울에 너무 추워서 아 빨리 봄 왔으면 좋겠다 싶을때 들어도 좋음 벚꽃연금 진짜 개쩌는듯
3,셉4호,와 2010년대의 1위 멋있다
4,정신차리자-,좋아요 대칭
5,HyunJae.,❤360051❤
6,j-xn,"이 노래가 좋은 이유는 벚꽃과 들어도 정말 좋지만, 사계절 언제든 봄을 느끼고 싶을때 꺼내서 들을 수 있는 소중한 곡이어서 그런 것 같네요."
7,Darkestdays,ㄹㅇ 연금엔딩임 목소리와 멜로디 중독성 오짐ㅋㅋ
8,블루핀투나,"벚꽃엔딩, 네가 내 봄이다!"
9,디제이_설명충,"진짜 영원하다...10년 뒤에도
봄마다 차트인 할 듯...
재생 다운로드
Legends Never Die
Against The Current
Legends Never Die (2017 리그 오브 레전드 월드 챔피언십 주제곡)"
10,blueday320,레전드는 말이 필요없지
11,짜파라면,레전드!
12,차이나는닉네임,와 2010년대 1위...
13,YKW0,1위까지 할 줄이야 ㅋㅋ
14,I_Love_You_3000,예상은 했지만 2010년대 차트 1위 진짜 ㅋㅋㅋㅋㅋ 쩔어
15,마제육볶아온나,2010년대 1위 ㄷㄷ
16,걕걕,벚꽃연금
17,슉아슈가룬,장범준이 아니라 장봄준이래ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 진짜 웃겨ㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
18,Abcdefdg,"그냥 모두아마 다 이 생각할꺼다

""그 때로 돌아가고싶다"""
19,알겠쉼다,"진짜 제목에 봄들어 가는 노래는 다 좋은거 같아..
봄 특유의 분위기가 진짜 좋은 듯.."
20,AONLY,봄이랑 너무 잘어울려 ㄹㅇ
21,랠_리_루,거의 36만 하트 레전드
22,이닉넴은없겠지,"봄에는 봄이라서 듣고
여름엔 벌써 봄 지나가는게 아쉬워서 듣고
가을엔 날씨가 봄같아서 듣고
겨울엔 봄 그리워서 듣고"
