,youtube_id,comment,like_num
0,단점,아는형님 보고왔다 손,93개
1,점점,봄이다 나가야지! 앗 미세먼지! 다음주에 나가야지! 앗 코로나! 다음달에 나가야지! 앗 여친이 없네 ㅅㅂ,308개
2,Irulynn5020,전 벚꽃엔딩보다 꽃송이가가 더 좋아요 개취지만. ㅋㅋㅋ,998개
3,KJS,"배드민턴 치자고 꼬셔
커피 한 잔 하자고 불러
동네 한 번 걷자고 꼬셔
넌 한 번도 그래 안 된다는 말이 없었지

꽃송이가 꽃송이가 그래 그래 피었네
꽃송이가 꽃송이가 그 꽃 한 송이가 그래 그래 피었구나

거리에 사람들 수많은 사람들 그 길에 사람들
그래 나는 네게 얼마만큼 특별한 건지
그게 어려운 거야 그게 어려운 거라 그게 어려운 거야

맛있는 거 먹자고 꼬셔
영화 보러 가자고 불러
단대 호수 걷자고 꼬셔
넌 한 번도 그래 안 된다는 말이 없었지

꽃송이가 꽃송이가 그래 그래 피었네
꽃송이가 꽃송이가 그 꽃 한 송이가 그래 그래 피었구나

거리에 사람들 수많은 사람들 그 길에 사람들
그래 나는 네게 얼마만큼 특별한 건지
그게 어려운 거야 그게 어려운 거라 그게 어려운 거야
좋아 좋아 하모니카 솔로

꽃송이가 꽃송이가 꽃송이가 그래 그래 피었네
꽃송이가 꽃송이가 그 꽃 한 송이가 그래 그래 피었구나

거리에 사람들 수많은 사람들 그 길에 사람들
그래 나는 네게 얼마만큼 특별한 건지
그게 어려운 거야 그게 어려운 거라 그게 어려운 거야",12개
4,AnchorAn,"다른 가사보다 '그게 어려운거야, 그게 어려운거라, 그게 어려운거야'라는 가사가 참 좋다.",41개
5,1111이건희,18년에 온사람 손,13개
6,의지의히어로MAX,오늘이 이 노래의 8주년,3개
7,GHJ,단대 상명대 천안캠 교가 그 자체,59개
8,jypnation,Thank you I.N for recommending this song for STAYS I really enjoy it ❤,4개
9,먹물이,진자 버스커버스커 1집은 안좋은노래가 없다 벚꽃엔딩 여수밤바다 그리고 꽃송이가 진자 한 앨범에 이런 고귀한 음악이 다 있다는 자체가 감동이다. 레전드였고 앞으로도 쭉 레전드일 앨범 중 하나,0개
10,배고파쥬금,벚꽃엔딩보다 이게 더 좋다 봄느낌ㅎㅎ,166개
11,BaeMochi,llegue aqui viendo all the K.POP,5개
12,TV감자보이,"배드민턴 치자고 꼬셔
커피 한 잔 하자고 불러
동네 한 번 걷자고 꼬셔
넌 한 번도 그래 안 된다는 말이 없었지

꽃송이가 꽃송이가 그래 그래 피었네
꽃송이가 꽃송이가 그 꽃 한 송이가 그래 그래 피었구나

거리에 사람들 수많은 사람들 그 길에 사람들
그래 나는 네게 얼마만큼 특별한 건지
그게 어려운 거야 그게 어려운 거라 그게 어려운 거야

맛있는 거 먹자고 꼬셔
영화 보러 가자고 불러
단대 호수 걷자고 꼬셔
넌 한 번도 그래 안 된다는 말이 없었지

꽃송이가 꽃송이가 그래 그래 피었네
꽃송이가 꽃송이가 그 꽃 한 송이가 그래 그래 피었구나

거리에 사람들 수많은 사람들 그 길에 사람들
그래 나는 네게 얼마만큼 특별한 건지
그게 어려운 거야 그게 어려운 거라 그게 어려운 거야
좋아 좋아 하모니카 솔로

꽃송이가 꽃송이가 꽃송이가 그래 그래 피었네
꽃송이가 꽃송이가 그 꽃 한 송이가 그래 그래 피었구나

거리에 사람들 수많은 사람들 그 길에 사람들
그래 나는 네게 얼마만큼 특별한 건지
그게 어려운 거야 그게 어려운 거라 그게 어려운 거야",224개
13,햅비,이 노래 들으면 밤에 거리는 환하고 벚꽃은 흐드러지고 날씨는 따뜻한 그런 봄의 상쾌하고 기분좋은 밤이 생각남,15개
14,ElizaM,"Ravi brought me here, and this song is amazing :)",29개
15,,"흑흑 불쌍한 하모니카. 하모니카 솔로래.
나는 모솔 😭",698개
16,구남매를부탁해,겨울에 한 번 생각나서 온 사람?,2개
17,신기정,좋아하는노래인데 돌아가신 이모도 좋아하는노래라서 들을때마다 눈물날려한다...,2개
18,이메진,꽃감보고 온사람 손,1개
19,알PAKA,그래그래 피었구나. 이거 한 소절이 너무 마음에 박혀서 지금와서 또 찾아들으러 왔다....,27개
20,YoungMoon,반주가 여자친구 처음 사귈때 내 신나서 촐싹대던 마음하고 너무 똑같네 ㅎㅎ,14개
21,MrDavid21,유튜브에서 요즘 핫하게 뜨는게 사과티비인듯 개쩔어요ㅎ,0개
22,순하리,0:19,4개
23,Studycentre,사과티비를 검색해봤는데 엄청나던데요? 혹시 안보신분들 같이 보자요.,0개
24,AnchorAn,"그게 어려운 거야,
그게 어려운 거라,
그게 어려운 거야.",16개
25,,내 사춘기를 버스커의 앨범으로 시작했고 버스커 노래로 정말 수없이 설레였는데 지금 들으니 또 색다르네..,2개
26,두팔곽,2021년에 본 친구들 모여봐,21개
27,CholilChannel,사과티비가 그래서 뭔데 씹덕아? 같이좀 알자,0개
28,베스티지Vestige,다시한번 버스커버스커를 세상에 알려주시게 도와준 예리밴드에게 감사를~,42개
29,표도르도스토예프스키,지금 서울 얼어 죽겠는데 문득 이 노래 듣고 따뜻해짐,169개
30,놈JSJ미친,"하모니카 솔로!
하모니카:...(눙물)",283개
31,김으리으리,진짜  최고의 명반  안좋은노래가 없음,31개
32,깨끗하개맑개자신있,진짜 이 앨범자체가 걍 겁나 명반임..곡들이 다 이렇게 완벽하게 좋을수가....,11개
33,leehappynine,나도 콧소리 매력적이고 싶다.,35개
34,TheAngrySmile,19년에 온사람 손,15개
35,yoonniu,Thank you Wonshik for bringing me here and loving this song 🐥,0개
36,dhLee,아니 그냥 띵곡,2개
37,코네,버스커버스커 너무좋아요 요즘 노래들은 영어가 반이라서 힘든데 버스커버스커는 영어가없어서좋아요,342개
38,김카를,몇번을 들어도 좋은 노래 ..,50개
39,FreshAlice,"I'm just hearing this and thinking about how beautiful this song made my spring last year <3 sigh, time waits for no one :D",11개
40,박민수,학교수학여행때 이거 애들이랑 공연하다가 '하모니카 솔로!' 했을때 나는 하모니카만 불었을 뿐인데 뜨끔했었지...(다 옛날예기) 친구들아 보고 싶다!,12개
41,YoussefPC,님도 사과티비 보셨음? 저도요 와 진짜 쩔어버렸네,0개
42,태건,"왜 이좋은 노래를 난 이제야 알게된거지,,",10개
43,권흥택,"젊은, 사랑의 기쁨을 표현한 노래 가운데 근래 대한민국 최고!!",0개
44,AjitSingh,와 가서 봤는데 개쩌는데?사과티비? 이걸 왜 이제 알았지?,0개
45,펩시코리아,이노래를 듣자 편의점 라면의 향기가 향기로운 4월의 꽃향기로 바뀌있으며 먹고 있던 삼각김밥이 존재한적 없고 존재하지 않는 연인이 만들어준 따뜻한 풀코스 도시락으로 바뀌었습니다.,0개
46,때주헌,벚꽃엔딩 듣고온사람,3개
47,위한별hanbyeolw,"꽃송이가 - 버스커 버스커

배드민턴 치자고 꼬셔
커피 한 잔 하자고 불러
동네 한 번 걷자고 꼬셔
넌 한 번도 그래
안 된다는 말이 없었지
꽃송이가 꽃송이가
그래 그래 피었네
꽃송이가 꽃송이가
그 꽃 한 송이가
그래 그래 피었구나
거리에 사람들 수많은 사람들
그 길에 사람들
그래 나는 네게
얼마만큼 특별한 건지
그게 어려운 거야
그게 어려운 거라
그게 어려운 거야
맛있는 거 먹자고 꼬셔
영화 보러 가자고 불러
단대 호수 걷자고 꼬셔
넌 한 번도 그래
안 된다는 말이 없었지
꽃송이가 꽃송이가
그래 그래 피었네
꽃송이가 꽃송이가
그 꽃 한 송이가
그래 그래 피었구나
거리에 사람들 수많은 사람들
그 길에 사람들
그래 나는 네게
얼마만큼 특별한 건지
그게 어려운 거야
그게 어려운 거라
그게 어려운 거야
좋아 좋아 하모니카 솔로
꽃송이가 꽃송이가 꽃송이가
그래 그래 피었네
꽃송이가 꽃송이가
그 꽃 한 송이가
그래 그래 피었구나
거리에 사람들 수많은 사람들
그 길에 사람들
그래 나는 네게
얼마만큼 특별한 건지
그게 어려운 거야
그게 어려운 거라
그게 어려운 거야",1개
48,도토리,어째서 버스커버스커가 올린거보다 이게 더 조회수가 많은거지?,5개
49,SoheeKim,"all the kpop --> boomsker boomsker (Boom, Seungho, Mir) brought me here ^^",0개
50,,2020년에 보러온건 안비밀~,4개
51,색,친구중에 송이랑 사귀고 헤어진 애 있으면 꼭 노래방 같이 가서 이노래로 놀렸는데....,4개
52,knt,버스커버스커 노래는 겨울에 들어도 좋더라 이제 다가올 봄을 생각하게 해 추운 겨울도 따뜻하게 만들어줌,1개
