,youtube_id,comment,like_num
0,EM,Album of the year in my heart ❤,11개
1,익명이덕후,뼈치킨보고 오신분?,8개
2,Shinmen,Jiyoon we'll support you no matter what! Also Jiyoung even if you're now a soloist we'll still support you! You guys will remain in our hearts!,19개
3,EmilyChristyS,"Well.. this is SAD, the fact that this is a duo, but I never knew that this is a duo song.",1개
4,새벽,"딱 이시국 노래 아닌가??
사람들은 봄기운이 좋아
눈치없이 밖을 나가는걸까",19개
5,Ishideukie,"this is my new favourite mv honestly such aesthetics 
i love this song <3 jinyoung shot me with her arrow oof",160개
6,카드값줘체리,이거 메이킹 보니까 우지윤님은 배역도 없던데..멋대로 단정해서는 안되는걸 알지만 이런거 계속 보다보니까 왜 탈퇴했는지 알것같음..,3개
7,Studiouseason,"2:38 that's the cutest way someone said ""erase all humanity""",2개
8,Aria,I think jiyoon made the right decision bcz she is barely seen in BOL4 mvs which I had watched so far... We'll always support you jiyoon!!,12개
9,꾸뿌,우지윤 응원할게 화이팅,546개
10,TenzinNoryang,Why does all the bol4 songs remind me of the first love I never had,54개
11,박성문,노래 너무 좋아요♡,1개
12,sadsad,You know what jiyoung looks like the girl who is a lead actress in itaewon claasss. HOW TO UNSSSEEE,546개
13,인직과로사,가사보면 코로나 저격노래인줄,96개
14,앙기무찌,뼈치킨을 알고있니,72개
15,수한무김,봄노래들으면 새학기시작하는 그 떨림이 생각남 좋다,11개
16,azulx,this boy gets many screen time than jiyoon,27개
17,MiniMoni,"Сейчас 2 апреля 2020 года, но мне до сих пор нравится этот клип и песня❤️❤️❤️",33개
18,GabrielCristovo,"I will miss this duo so bad omg... Why did she have to leave? This is so depressing, but I will support both of their carreers individually, no matter what you choose to do. Thank you for putting out so many good songs that would make everyone feel better,  thanks for being such a supportive woman. We will miss you, Jiyoon, I hope you find your own success.",408개
19,RubabShah,Why does every single bbol4 song seems just perfect for any Kdrama? 😍,42개
20,SoobinsaQTxT,Who’s listening to this adorable song in 2020?,190개
21,김도영,"노래 나온지 정확히 1년이 지난 지금, 완전체의 BOL4를 볼 수 없게 됐군요ㅠㅠ 좋은 노래 감사했습니다. 앞으로도 각자의 길에서 좋은 노래 내주길!",293개
